,X,user,date,source,retweets,tweet,followers,statuses,listed,friends,source_cleaned,tweettopic
311,311,canuckteck,Fri  01 Mar 2013 22:46:54 +0000,Carbon for Android,0,"Google Completes Android 4.2.2 Rollout - Nexus 4 And Nexus 7 3G Now Fully Supported By AOSP 
http://t.co/E75I2ACa6f",30,968,2,77,Android,Android
312,312,Kelkundefor,Fri  01 Mar 2013 23:14:17 +0000,Carbon for Android,0,#Android #Root #0x http://t.co/KmLUWoMGb4,37,2171,0,37,Android,Android
314,314,Haloruler64,Fri  01 Mar 2013 23:25:30 +0000,Carbon for Android,0,@domigit live wallpapers. The coolest gimmick of Android since 2.1,342,47482,9,152,Android,Android
315,315,mrstuartoakley,Fri  01 Mar 2013 23:33:36 +0000,Carbon for Android,0,Q for you rooted android owners. I have a rooted SGS3 with CWM. I have 1 backup. Yet it's9GB. Is this normal? http://t.co/94dg0dl54t,89,2697,2,153,Android,Android
1299,1299,__inbetweendays,Fri  01 Mar 2013 20:47:59 +0000,Echofon Android,0,@yasaikatsucurry the app is utter dog shit for Android :-(,378,24936,11,470,Android,Android
1300,1300,camacaron,Fri  01 Mar 2013 20:16:50 +0000,Echofon for Android PRO,0,@Yviebot @steamedmantou @radiFloon GDI android autocorrect .... I meant engie,14,8830,0,20,Android,Android
1323,1323,ChrissytiTaylor,Fri  01 Mar 2013 18:48:19 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  Facebook! This game is amazing!http://t.co/g8F4owTgQP #Android #AndroidGames #GameInsight,70,1251,1,250,Android,Android
1324,1324,mellyir,Fri  01 Mar 2013 19:25:52 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  Storing Goods! This game is amazing!http://t.co/2XcQemU92P #Android #AndroidGames #GameInsight,38,268,0,61,Android,Android
1325,1325,prettypothead8,Fri  01 Mar 2013 21:42:57 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  House for the Prince! This game is amazing!http://t.co/zi6HkXPH6t #Android #AndroidGames #GameInsi,307,311,0,540,Android,Android
1326,1326,prettypothead8,Fri  01 Mar 2013 21:44:13 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  The Agronomist's Departure! This game is amazing!http://t.co/zi6HkXPH6t #Android #AndroidGames #Ga,307,312,0,540,Android,Android
1327,1327,Resa_Finda,Fri  01 Mar 2013 23:26:03 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  Housing for the Beast! This game is amazing!http://t.co/YfMuBsvX4S #Android #AndroidGames #GameIns,159,561,0,290,Android,Android
1328,1328,highdaily420,Fri  01 Mar 2013 23:40:37 +0000,Enchanted Realm for Android,0,Let's celebrate! I've completed a quest  Ah  how romantic!! This game is amazing!http://t.co/70J91oYu5Y #Android #AndroidGames #GameInsight,176,910,0,804,Android,Android
1454,1454,aliborhani1,Fri  01 Mar 2013 20:01:53 +0000,Falcon for Android,0,#flipboard widget for #android is AWFUL :|,95,2413,1,180,Android,Android
1455,1455,romainguy,Fri  01 Mar 2013 19:09:14 +0000,Falcon Pro,0,@c_pruett and I hope to see it on Android to play it :),16987,5371,1213,158,Android,Android
1456,1456,paulcusentino,Fri  01 Mar 2013 19:12:31 +0000,Falcon Pro,0,@falcon_android Do Twitter tokens count every user or is it number of devices using the app? New phone in March  want Falcon on it. Thanks.,97,5729,0,148,Android,Android
1457,1457,Butler_Speaks,Fri  01 Mar 2013 19:15:39 +0000,Falcon Pro,0,@carbonrom RT @androidcentral Android 4.2.2 code now pushing to Android Open Source Project http://t.co/YQCuY86FVh #android,214,48157,3,324,Android,Android
1458,1458,stephansmolek,Fri  01 Mar 2013 19:31:29 +0000,Falcon Pro,0,Hm. N4? RT @AndroidPolice Google Completes Android 4.2.2 Rollout - Nexus 4 And Nexus 7 3G Now Fully Supported By AOSP http://t.co/alhZp4z2Cl,21,274,0,99,Android,Android
1459,1459,IsaacjonesM,Fri  01 Mar 2013 19:52:44 +0000,Falcon Pro,0,@NdemicCreations still looking for the android release...,7,101,0,21,Android,Android
1460,1460,tallyhochaps,Fri  01 Mar 2013 19:57:14 +0000,Falcon Pro,0,@TheLadeesMan I do wonder. Google are taking design seriously now  Android doing great  Glass by the end of the year. Can apple counter it?,93,5679,3,114,Android,Android
1461,1461,AnalysisAndroid,Fri  01 Mar 2013 20:02:22 +0000,Falcon Pro,0,@Spotify Should add a #DashClock extension to their Android app,58,1395,1,303,Android,Android
1462,1462,f1vefour,Fri  01 Mar 2013 20:28:22 +0000,Falcon Pro,0,@expertontech your on vacation and still thinking about Android...that's dedication,196,3906,18,87,Android,Android
1463,1463,expertontech,Fri  01 Mar 2013 20:34:35 +0000,Falcon Pro,0,@f1vefour haha yea I can still enjoy my vacation and keep up to date in the android world.,535,5773,30,570,Android,Android
1464,1464,nExSoftware,Fri  01 Mar 2013 20:44:45 +0000,Falcon Pro,0,Is the Android backup system (BackupManager) terribly unreliable or am I doing something wrong?,470,4742,49,81,Android,Android
1467,1467,hinds2009,Fri  01 Mar 2013 21:13:16 +0000,Falcon Pro,0,This is my power usage filled day! #Snapdragonbatteryguru is the best! #android http://t.co/VnA1fuEfIj,64,5106,1,49,Android,Android
1468,1468,MixedChicXo1228,Fri  01 Mar 2013 21:15:20 +0000,Falcon Pro,0,Android products lmaoo #WeakFor,528,4467,1,1399,Android,Android
1469,1469,MrViZZiATO,Fri  01 Mar 2013 21:29:08 +0000,Falcon Pro,0,@dot1ne I totally agree #Android ask the way,238,24836,6,476,Android,Android
1471,1471,MrViZZiATO,Fri  01 Mar 2013 22:09:38 +0000,Falcon Pro,0,@Brol1kTheGreat So are you excited about any of the new @Android phones coming out soon?,238,24838,6,476,Android,Android
1472,1472,DJ8218521,Fri  01 Mar 2013 22:12:36 +0000,Falcon Pro,0,RT @androidcentral Apple vs. Samsung: Damages cut by $450 Million  new trial ordered http://t.co/DmeoFxHLz3 #android,314,15188,7,268,Android,Android
1474,1474,woonaval,Fri  01 Mar 2013 22:16:00 +0000,Falcon Pro,0,Memedroid Image - http://t.co/iwSATsVwrA Shared with Memedroid for Android,84,2850,1,131,Android,Android
1476,1476,datchetdasher,Fri  01 Mar 2013 22:46:13 +0000,Falcon Pro,0,Falcon Pro #Twitter mention notifications seem to be about 5 mins behind Plume #Android #Getalife,129,2603,5,166,Android,Android
1477,1477,MohammadAG,Fri  01 Mar 2013 23:07:56 +0000,Falcon Pro,0,@falcon_android awesome app! Just one small request  can you override the back button when using the in app browser so it backs the browser?,1192,3617,38,507,Android,Android
1482,1482,melksa21514,Fri  01 Mar 2013 21:29:26 +0000,FalconPro,0,@falcon_android it does still work! Sorry,66,11083,0,61,Android,Android
1483,1483,InvektivDNB,Fri  01 Mar 2013 21:39:00 +0000,FalconPro,0,Listening to Cursed by Chelsea Grin - Sent from PlayerPro@Android,120,301,0,365,Android,Android
1484,1484,InvektivDNB,Fri  01 Mar 2013 21:42:52 +0000,FalconPro,0,Listening to Behind A Veil Of Lies by Chelsea Grin - Sent from PlayerPro@Android,120,303,0,365,Android,Android
1486,1486,Will3942,Fri  01 Mar 2013 23:16:31 +0000,FalconPro,0,@Dexwell_ y u no android,19413,28023,31,370,Android,Android
1639,1639,dundas212121,Fri  01 Mar 2013 18:45:12 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/DQL7lheA8i #Android #AndroidGames #gameinsight #drimmi http://t.co/C1ftrApZoy,4,1163,2,78,Android,Android
1640,1640,King60solo,Fri  01 Mar 2013 19:21:07 +0000,Gone Fishing mobile game,0,Wow! I have caught this Volga Zander just now! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/83eW6xHeRg,0,244,0,6,Android,Android
1641,1641,King60solo,Fri  01 Mar 2013 19:21:51 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/R3Xl3To9J1,0,245,0,6,Android,Android
1642,1642,King60solo,Fri  01 Mar 2013 19:22:28 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/3NQWa5481n,0,247,0,6,Android,Android
1643,1643,King60solo,Fri  01 Mar 2013 19:22:40 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/3NQWa5481n,0,247,0,6,Android,Android
1644,1644,ShayansaMitchel,Fri  01 Mar 2013 19:29:37 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/8j8QXZAm6M,0,105,0,0,Android,Android
1645,1645,Gargamel244,Fri  01 Mar 2013 19:33:23 +0000,Gone Fishing mobile game,0,Wow! I have caught this Blue Bream just now! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/2R6N3Z6SKG,3,92,0,1,Android,Android
1646,1646,Gargamel244,Fri  01 Mar 2013 19:34:23 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/Xhils5bisg,3,94,0,1,Android,Android
1647,1647,Gargamel244,Fri  01 Mar 2013 19:34:36 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/aVzhGAA9LW,3,94,0,1,Android,Android
1648,1648,ShayansaMitchel,Fri  01 Mar 2013 19:34:36 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/DZxz8oIKd3,0,107,0,0,Android,Android
1649,1649,ShayansaMitchel,Fri  01 Mar 2013 19:52:37 +0000,Gone Fishing mobile game,0,Wow! I have caught this Globefish just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/SrY8PTFHpa,0,111,0,0,Android,Android
1650,1650,emgeth,Fri  01 Mar 2013 20:07:49 +0000,Gone Fishing mobile game,0,Wow! I have caught this Ide just now! http://t.co/OWlQ78p3Y8 #Android #AndroidGames #gameinsight #drimmi http://t.co/m97rwGp5qC,4,32,0,0,Android,Android
1651,1651,ShayansaMitchel,Fri  01 Mar 2013 20:08:15 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/NLWgAQ9MUB,0,112,0,0,Android,Android
1652,1652,ShayansaMitchel,Fri  01 Mar 2013 20:09:31 +0000,Gone Fishing mobile game,0,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/w8Ys22xMtZ,0,113,0,0,Android,Android
1653,1653,ShayansaMitchel,Fri  01 Mar 2013 20:37:47 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/TbKvggOJgG,0,116,0,0,Android,Android
1654,1654,ShayansaMitchel,Fri  01 Mar 2013 20:41:36 +0000,Gone Fishing mobile game,0,Wow! I have caught this Pike just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/OhcQ4zr3U3,0,117,0,0,Android,Android
1655,1655,JosDeMuis,Fri  01 Mar 2013 20:45:26 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/JjD7WapTSb #Android #AndroidGames #gameinsight #drimmi http://t.co/CLa8Nv6knI,3,811,0,1,Android,Android
1656,1656,JosDeMuis,Fri  01 Mar 2013 20:45:29 +0000,Gone Fishing mobile game,0,Wow! I have caught this Amur Catfish just now! http://t.co/JjD7WapTSb #Android #AndroidGames #gameinsight #drimmi http://t.co/CLa8Nv6knI,3,811,0,1,Android,Android
1657,1657,ShayansaMitchel,Fri  01 Mar 2013 20:46:49 +0000,Gone Fishing mobile game,0,Wow! I have caught this Ruler-fish just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/wX6OY1Rh1D,0,118,0,0,Android,Android
1658,1658,ShayansaMitchel,Fri  01 Mar 2013 20:47:45 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/9b8uE8MEhY,0,119,0,0,Android,Android
1659,1659,ShayansaMitchel,Fri  01 Mar 2013 20:55:24 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/tur1cHgNLe,0,120,0,0,Android,Android
1660,1660,emgeth,Fri  01 Mar 2013 21:02:26 +0000,Gone Fishing mobile game,0,Finally  I have got it! http://t.co/OWlQ78p3Y8 #Android #AndroidGames #gameinsight #drimmi http://t.co/gMr0SNQW9R,4,33,0,0,Android,Android
