date,followers,friends,id,listed,positiveredicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 19:37:51 +0000,73122,64154,32,2737,neutral,0,androidheadlines 2,Android,79351,Android,Androidheadline,Android 4.2.2 Rollout Completed; Nexus 7 3G and Nexus 4 Has Full Support in AOSP http://t.co/R9NMbkTcju #android
Fri  01 Mar 2013 20:14:30 +0000,73120,63900,33,2737,neutral,0,androidheadlines 2,Android,79355,Android,Androidheadline,"Details on T-Mobile's ""Uncarrier"" Approach; Will it Change the Wireless Industry for the Better? http://t.co/VO2TMqtPTW #android"
Fri  01 Mar 2013 21:37:09 +0000,73125,63452,34,2737,positive,0,androidheadlines 2,Android,79363,Android,Androidheadline,DreamWorks and Rovio Mobile Bringing 'The Croods' to Android http://t.co/CeMlCvxOs6 #android
Fri  01 Mar 2013 22:51:47 +0000,73126,63424,35,2737,negative,0,androidheadlines 2,Android,79368,Android,Androidheadline,Post Edited: What Is HTC BlinkFeed On The HTC One? http://t.co/Z38Sm7LN1e #android
Fri  01 Mar 2013 23:15:13 +0000,73125,63415,36,2737,negative,0,androidheadlines 2,Android,79372,Android,Androidheadline,Asana Mobile Launches on the Play Store; Enhancing Your Teams Productivity http://t.co/AwadQ0M1P8 #android
Fri  01 Mar 2013 19:22:16 +0000,1698,1097,37,33,neutral,0,AndroidNewsTop,Android,11061,Android,AndroidNewsTop,Android 4.2.2 code now pushing to Android Open Source Project - Android Central http://t.co/MQMfhOlYLL
Fri  01 Mar 2013 20:23:57 +0000,1698,1100,38,33,negative,0,AndroidNewsTop,Android,11062,Android,AndroidNewsTop,The most secure Android phone in the world (maybe) - CNET http://t.co/71hd1z6RGi
Fri  01 Mar 2013 23:15:11 +0000,21804,218,40,1704,negative,0,AndroidSPIN,Android,24322,Android,AndroidSPIN,[REVIEW] a-JAYS One+ ; Looking to one-up your Android Headphone Experience - http://t.co/LoLpYuUq5Z @phrased_by_jays
Fri  01 Mar 2013 23:35:17 +0000,2695,2294,59,62,positive,0,areyouanandroid.com,Android,76452,Android,Wild5tar,New Forum post: What Is Your Favorite Widget On Android? http://t.co/8G8SAojvq7
Fri  01 Mar 2013 23:36:18 +0000,2695,2294,60,62,positive,0,areyouanandroid.com,Android,76454,Android,Wild5tar,Post Edited: What Is Your Favorite Widget On Android? http://t.co/UJu162LV4B
Fri  01 Mar 2013 23:36:19 +0000,2695,2294,61,62,positive,0,areyouanandroid.com,Android,76454,Android,Wild5tar,New Forum post: What Is Your Favorite Widget On Android? http://t.co/CqOaCAJwnf
Fri  01 Mar 2013 23:39:57 +0000,2695,2294,62,62,positive,0,areyouanandroid.com,Android,76455,Android,Wild5tar,New Forum post: What Is Your Favorite Widget On Android? http://t.co/7xyLo16mGU
Fri  01 Mar 2013 18:44:22 +0000,341,529,118,1,neutral,0,Big Business for Android,Android,1243,Android,SergioDelSol27,In Big Business I advanced to level 39! 19 http://t.co/QPZPC14AKF #android #gameinsight #androidgames
Fri  01 Mar 2013 18:44:28 +0000,340,529,119,1,neutral,0,Big Business for Android,Android,1243,Android,SergioDelSol27,"The ""Service center"" collection in Big Business has been completed! 52 http://t.co/QPZPC14AKF #android #gameinsight #androidgames"
Fri  01 Mar 2013 19:11:23 +0000,4,2,120,0,neutral,0,Big Business for Android,Android,564,Android,JenningsMasks,"The ""Fashionable stuff"" collection in Big Business has been completed! 97 http://t.co/3HJSsDiG7g #android #gameinsight #androidgames"
Fri  01 Mar 2013 20:01:46 +0000,45,132,121,1,neutral,0,Big Business for Android,Android,1311,Android,renancherzman,"The ""Farm"" collection in Big Business has been completed! 54 http://t.co/LhL7TggVoe #android #gameinsight #androidgames"
Fri  01 Mar 2013 20:25:13 +0000,77,370,122,0,neutral,0,Big Business for Android,Android,404,Android,Mohaleme,"The ""Summer cottage"" collection in Big Business has been completed! 29 http://t.co/iRRnPDk2jv #android #gameinsight #androidgames"
Fri  01 Mar 2013 20:32:13 +0000,320,734,123,1,neutral,0,Big Business for Android,Android,7527,Android,Smujallid,"The ""Heavy machinery"" collection in Big Business has been completed! 1 http://t.co/AzBOBZDOYT #android #gameinsight #androidgames"
Fri  01 Mar 2013 21:48:37 +0000,63,274,124,0,neutral,0,Big Business for Android,Android,1691,Android,cypha2305,Get Big Business for free on Android! 73 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames
Fri  01 Mar 2013 21:48:45 +0000,63,274,125,0,neutral,0,Big Business for Android,Android,1691,Android,cypha2305,"New 2 class ""Green city"" award received! 13 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames"
Fri  01 Mar 2013 21:50:31 +0000,63,274,126,0,neutral,0,Big Business for Android,Android,1692,Android,cypha2305,"New 3 class ""Builder"" award received! 95 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames"
Fri  01 Mar 2013 21:53:21 +0000,63,274,127,0,neutral,0,Big Business for Android,Android,1694,Android,cypha2305,"Hurray! I've completed a ""Greening the city"" task! 30 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames"
Fri  01 Mar 2013 22:55:32 +0000,42,93,128,2,neutral,0,Big Business for Android,Android,4396,Android,boendoet,"Hurray! I've completed a ""??onsolidate the progress"" task! 88 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:04:15 +0000,124,153,129,4,neutral,0,Big Business for Android,Android,1614,Android,SecretGemCC,"The ""Farm"" collection in Big Business has been completed! 52 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:04:49 +0000,124,153,130,4,neutral,0,Big Business for Android,Android,1616,Android,SecretGemCC,"The ""Printing office"" collection in Big Business has been completed! 11 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:05:03 +0000,124,153,131,4,neutral,0,Big Business for Android,Android,1616,Android,SecretGemCC,"The ""Service center"" collection in Big Business has been completed! 36 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:05:18 +0000,124,153,132,4,neutral,0,Big Business for Android,Android,1617,Android,SecretGemCC,"The ""Heavy machinery"" collection in Big Business has been completed! 4 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:05:26 +0000,124,153,133,4,neutral,0,Big Business for Android,Android,1617,Android,SecretGemCC,"The ""Farm"" collection in Big Business has been completed! 40 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:10:10 +0000,42,93,134,2,neutral,0,Big Business for Android,Android,4400,Android,boendoet,"The ""Summer cottage"" collection in Big Business has been completed! 1 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames"
Fri  01 Mar 2013 23:10:15 +0000,42,93,135,2,neutral,0,Big Business for Android,Android,4400,Android,boendoet,"The ""Service center"" collection in Big Business has been completed! 64 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames"
Fri  01 Mar 2013 18:58:48 +0000,126,217,299,3,neutral,0,Carbon for Android,Android,8950,Android,AmiR1mA,Carbon  the best twitter client for android.
Fri  01 Mar 2013 19:07:57 +0000,182,405,300,10,negative,0,Carbon for Android,Android,13270,Android,paww2k,@SteRumbelowF1 It sounds like you want the customization ability of Android.
Fri  01 Mar 2013 19:15:15 +0000,144,196,301,9,positive,0,Carbon for Android,Android,2300,Android,khuhtanen,Eww  just checked #Samsung Apps and it seems to be yet another 3rd party App Store for #Android.  I would just like open hw with pure G.
Fri  01 Mar 2013 19:17:18 +0000,144,196,302,9,negative,0,Carbon for Android,Android,2301,Android,khuhtanen,When I bought #Samsung #Android phone I spent a day modifying it to be more like stock Android.
Fri  01 Mar 2013 19:20:43 +0000,144,196,303,9,neutral,0,Carbon for Android,Android,2302,Android,khuhtanen,I think by making stock #Android phone instead of stock #WindowsPhone s #Nokia would be in better shape.  HW seems good.
Fri  01 Mar 2013 20:16:22 +0000,878,443,306,24,negative,0,Carbon for Android,Android,32061,Android,Robi27,@MTNzaService Help! I've tried to buy a bundle via the Android app 3 times &amp; I get a technical error but a text that the money has come off.
Fri  01 Mar 2013 21:50:30 +0000,95,139,307,2,neutral,0,Carbon for Android,Android,4060,Android,HawkeyeWPR,Android 5.0 may be based on Linux 3.8 kernel http://t.co/Ynu0N9aSMF
Fri  01 Mar 2013 22:01:50 +0000,34,128,308,0,negative,0,Carbon for Android,Android,411,Android,Tim_Harmer,First photosphere didn't turn out to well... Need a better phone. #android http://t.co/W5194pSDMF
Fri  01 Mar 2013 22:08:21 +0000,472,632,309,9,negative,0,Carbon for Android,Android,22815,Android,anepicname,@refrshingapathy @veernacular they have a pretty neat android app
Fri  01 Mar 2013 22:46:54 +0000,30,77,311,2,neutral,0,Carbon for Android,Android,968,Android,canuckteck,Google Completes Android 4.2.2 Rollout - Nexus 4 And Nexus 7 3G Now Fully Supported By AOSP 
Fri  01 Mar 2013 23:14:17 +0000,37,37,312,0,neutral,0,Carbon for Android,Android,2171,Android,Kelkundefor,#Android #Root #0x http://t.co/KmLUWoMGb4
Fri  01 Mar 2013 23:25:30 +0000,342,152,314,9,neutral,0,Carbon for Android,Android,47482,Android,Haloruler64,@domigit live wallpapers. The coolest gimmick of Android since 2.1
Fri  01 Mar 2013 23:33:36 +0000,89,153,315,2,positive,0,Carbon for Android,Android,2697,Android,mrstuartoakley,Q for you rooted android owners. I have a rooted SGS3 with CWM. I have 1 backup. Yet it's9GB. Is this normal? http://t.co/94dg0dl54t
Fri  01 Mar 2013 20:47:59 +0000,378,470,1299,11,neutral,0,Echofon Android,Android,24936,Android,__inbetweendays,@yasaikatsucurry the app is utter dog shit for Android :-(
Fri  01 Mar 2013 20:16:50 +0000,14,20,1300,0,positive,0,Echofon for Android PRO,Android,8830,Android,camacaron,@Yviebot @steamedmantou @radiFloon GDI android autocorrect .... I meant engie
Fri  01 Mar 2013 18:48:19 +0000,70,250,1323,1,neutral,0,Enchanted Realm for Android,Android,1251,Android,ChrissytiTaylor,Let's celebrate! I've completed a quest  Facebook! This game is amazing!http://t.co/g8F4owTgQP #Android #AndroidGames #GameInsight
Fri  01 Mar 2013 19:25:52 +0000,38,61,1324,0,neutral,0,Enchanted Realm for Android,Android,268,Android,mellyir,Let's celebrate! I've completed a quest  Storing Goods! This game is amazing!http://t.co/2XcQemU92P #Android #AndroidGames #GameInsight
Fri  01 Mar 2013 21:42:57 +0000,307,540,1325,0,neutral,0,Enchanted Realm for Android,Android,311,Android,prettypothead8,Let's celebrate! I've completed a quest  House for the Prince! This game is amazing!http://t.co/zi6HkXPH6t #Android #AndroidGames #GameInsi
Fri  01 Mar 2013 21:44:13 +0000,307,540,1326,0,neutral,0,Enchanted Realm for Android,Android,312,Android,prettypothead8,Let's celebrate! I've completed a quest  The Agronomist's Departure! This game is amazing!http://t.co/zi6HkXPH6t #Android #AndroidGames #Ga
Fri  01 Mar 2013 23:26:03 +0000,159,290,1327,0,neutral,0,Enchanted Realm for Android,Android,561,Android,Resa_Finda,Let's celebrate! I've completed a quest  Housing for the Beast! This game is amazing!http://t.co/YfMuBsvX4S #Android #AndroidGames #GameIns
Fri  01 Mar 2013 23:40:37 +0000,176,804,1328,0,neutral,0,Enchanted Realm for Android,Android,910,Android,highdaily420,Let's celebrate! I've completed a quest  Ah  how romantic!! This game is amazing!http://t.co/70J91oYu5Y #Android #AndroidGames #GameInsight
Fri  01 Mar 2013 20:01:53 +0000,95,180,1454,1,neutral,0,Falcon for Android,Android,2413,Android,aliborhani1,#flipboard widget for #android is AWFUL :|
Fri  01 Mar 2013 19:09:14 +0000,16987,158,1455,1213,positive,0,Falcon Pro,Android,5371,Android,romainguy,@c_pruett and I hope to see it on Android to play it :)
Fri  01 Mar 2013 19:12:31 +0000,97,148,1456,0,negative,0,Falcon Pro,Android,5729,Android,paulcusentino,@falcon_android Do Twitter tokens count every user or is it number of devices using the app? New phone in March  want Falcon on it. Thanks.
Fri  01 Mar 2013 19:15:39 +0000,214,324,1457,3,neutral,0,Falcon Pro,Android,48157,Android,Butler_Speaks,@carbonrom RT @androidcentral Android 4.2.2 code now pushing to Android Open Source Project http://t.co/YQCuY86FVh #android
Fri  01 Mar 2013 19:31:29 +0000,21,99,1458,0,neutral,0,Falcon Pro,Android,274,Android,stephansmolek,Hm. N4? RT @AndroidPolice Google Completes Android 4.2.2 Rollout - Nexus 4 And Nexus 7 3G Now Fully Supported By AOSP http://t.co/alhZp4z2Cl
Fri  01 Mar 2013 19:52:44 +0000,7,21,1459,0,negative,0,Falcon Pro,Android,101,Android,IsaacjonesM,@NdemicCreations still looking for the android release...
Fri  01 Mar 2013 19:57:14 +0000,93,114,1460,3,negative,0,Falcon Pro,Android,5679,Android,tallyhochaps,@TheLadeesMan I do wonder. Google are taking design seriously now  Android doing great  Glass by the end of the year. Can apple counter it?
Fri  01 Mar 2013 20:02:22 +0000,58,303,1461,1,negative,0,Falcon Pro,Android,1395,Android,AnalysisAndroid,@Spotify Should add a #DashClock extension to their Android app
Fri  01 Mar 2013 20:28:22 +0000,196,87,1462,18,positive,0,Falcon Pro,Android,3906,Android,f1vefour,@expertontech your on vacation and still thinking about Android...that's dedication
Fri  01 Mar 2013 20:34:35 +0000,535,570,1463,30,negative,0,Falcon Pro,Android,5773,Android,expertontech,@f1vefour haha yea I can still enjoy my vacation and keep up to date in the android world.
Fri  01 Mar 2013 20:44:45 +0000,470,81,1464,49,positive,0,Falcon Pro,Android,4742,Android,nExSoftware,Is the Android backup system (BackupManager) terribly unreliable or am I doing something wrong?
Fri  01 Mar 2013 21:13:16 +0000,64,49,1467,1,neutral,0,Falcon Pro,Android,5106,Android,hinds2009,This is my power usage filled day! #Snapdragonbatteryguru is the best! #android http://t.co/VnA1fuEfIj
Fri  01 Mar 2013 21:15:20 +0000,528,1399,1468,1,neutral,0,Falcon Pro,Android,4467,Android,MixedChicXo1228,Android products lmaoo #WeakFor
Fri  01 Mar 2013 21:29:08 +0000,238,476,1469,6,negative,0,Falcon Pro,Android,24836,Android,MrViZZiATO,@dot1ne I totally agree #Android ask the way
Fri  01 Mar 2013 22:09:38 +0000,238,476,1471,6,negative,0,Falcon Pro,Android,24838,Android,MrViZZiATO,@Brol1kTheGreat So are you excited about any of the new @Android phones coming out soon?
Fri  01 Mar 2013 22:12:36 +0000,314,268,1472,7,neutral,0,Falcon Pro,Android,15188,Android,DJ8218521,RT @androidcentral Apple vs. Samsung: Damages cut by $450 Million  new trial ordered http://t.co/DmeoFxHLz3 #android
Fri  01 Mar 2013 22:16:00 +0000,84,131,1474,1,neutral,0,Falcon Pro,Android,2850,Android,woonaval,Memedroid Image - http://t.co/iwSATsVwrA Shared with Memedroid for Android
Fri  01 Mar 2013 22:46:13 +0000,129,166,1476,5,positive,0,Falcon Pro,Android,2603,Android,datchetdasher,Falcon Pro #Twitter mention notifications seem to be about 5 mins behind Plume #Android #Getalife
Fri  01 Mar 2013 23:07:56 +0000,1192,507,1477,38,negative,0,Falcon Pro,Android,3617,Android,MohammadAG,@falcon_android awesome app! Just one small request  can you override the back button when using the in app browser so it backs the browser?
Fri  01 Mar 2013 21:29:26 +0000,66,61,1482,0,positive,0,FalconPro,Android,11083,Android,melksa21514,@falcon_android it does still work! Sorry
Fri  01 Mar 2013 21:39:00 +0000,120,365,1483,0,positive,0,FalconPro,Android,301,Android,InvektivDNB,Listening to Cursed by Chelsea Grin - Sent from PlayerPro@Android
Fri  01 Mar 2013 21:42:52 +0000,120,365,1484,0,negative,0,FalconPro,Android,303,Android,InvektivDNB,Listening to Behind A Veil Of Lies by Chelsea Grin - Sent from PlayerPro@Android
Fri  01 Mar 2013 23:16:31 +0000,19413,370,1486,31,negative,0,FalconPro,Android,28023,Android,Will3942,@Dexwell_ y u no android
Fri  01 Mar 2013 18:45:12 +0000,4,78,1639,2,neutral,0,Gone Fishing mobile game,Android,1163,Android,dundas212121,Look what I have caught! http://t.co/DQL7lheA8i #Android #AndroidGames #gameinsight #drimmi http://t.co/C1ftrApZoy
Fri  01 Mar 2013 19:21:07 +0000,0,6,1640,0,neutral,0,Gone Fishing mobile game,Android,244,Android,King60solo,Wow! I have caught this Volga Zander just now! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/83eW6xHeRg
Fri  01 Mar 2013 19:21:51 +0000,0,6,1641,0,neutral,0,Gone Fishing mobile game,Android,245,Android,King60solo,Look what I have caught! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/R3Xl3To9J1
Fri  01 Mar 2013 19:22:28 +0000,0,6,1642,0,neutral,0,Gone Fishing mobile game,Android,247,Android,King60solo,Look what I have caught! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/3NQWa5481n
Fri  01 Mar 2013 19:22:40 +0000,0,6,1643,0,neutral,0,Gone Fishing mobile game,Android,247,Android,King60solo,Finally  I have got it! http://t.co/93KSoHyDlH #Android #AndroidGames #gameinsight #drimmi http://t.co/3NQWa5481n
Fri  01 Mar 2013 19:29:37 +0000,0,0,1644,0,neutral,0,Gone Fishing mobile game,Android,105,Android,ShayansaMitchel,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/8j8QXZAm6M
Fri  01 Mar 2013 19:33:23 +0000,3,1,1645,0,neutral,0,Gone Fishing mobile game,Android,92,Android,Gargamel244,Wow! I have caught this Blue Bream just now! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/2R6N3Z6SKG
Fri  01 Mar 2013 19:34:23 +0000,3,1,1646,0,neutral,0,Gone Fishing mobile game,Android,94,Android,Gargamel244,Look what I have caught! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/Xhils5bisg
Fri  01 Mar 2013 19:34:36 +0000,3,1,1647,0,neutral,0,Gone Fishing mobile game,Android,94,Android,Gargamel244,Finally  I have got it! http://t.co/NTcuPGmrcv #Android #AndroidGames #gameinsight #drimmi http://t.co/aVzhGAA9LW
Fri  01 Mar 2013 19:34:36 +0000,0,0,1648,0,neutral,0,Gone Fishing mobile game,Android,107,Android,ShayansaMitchel,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/DZxz8oIKd3
Fri  01 Mar 2013 19:52:37 +0000,0,0,1649,0,neutral,0,Gone Fishing mobile game,Android,111,Android,ShayansaMitchel,Wow! I have caught this Globefish just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/SrY8PTFHpa
Fri  01 Mar 2013 20:07:49 +0000,4,0,1650,0,neutral,0,Gone Fishing mobile game,Android,32,Android,emgeth,Wow! I have caught this Ide just now! http://t.co/OWlQ78p3Y8 #Android #AndroidGames #gameinsight #drimmi http://t.co/m97rwGp5qC
Fri  01 Mar 2013 20:08:15 +0000,0,0,1651,0,neutral,0,Gone Fishing mobile game,Android,112,Android,ShayansaMitchel,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/NLWgAQ9MUB
Fri  01 Mar 2013 20:09:31 +0000,0,0,1652,0,neutral,0,Gone Fishing mobile game,Android,113,Android,ShayansaMitchel,Look what I have caught! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/w8Ys22xMtZ
Fri  01 Mar 2013 20:37:47 +0000,0,0,1653,0,neutral,0,Gone Fishing mobile game,Android,116,Android,ShayansaMitchel,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/TbKvggOJgG
Fri  01 Mar 2013 20:41:36 +0000,0,0,1654,0,neutral,0,Gone Fishing mobile game,Android,117,Android,ShayansaMitchel,Wow! I have caught this Pike just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/OhcQ4zr3U3
Fri  01 Mar 2013 20:45:26 +0000,3,1,1655,0,neutral,0,Gone Fishing mobile game,Android,811,Android,JosDeMuis,Finally  I have got it! http://t.co/JjD7WapTSb #Android #AndroidGames #gameinsight #drimmi http://t.co/CLa8Nv6knI
Fri  01 Mar 2013 20:45:29 +0000,3,1,1656,0,neutral,0,Gone Fishing mobile game,Android,811,Android,JosDeMuis,Wow! I have caught this Amur Catfish just now! http://t.co/JjD7WapTSb #Android #AndroidGames #gameinsight #drimmi http://t.co/CLa8Nv6knI
Fri  01 Mar 2013 20:46:49 +0000,0,0,1657,0,neutral,0,Gone Fishing mobile game,Android,118,Android,ShayansaMitchel,Wow! I have caught this Ruler-fish just now! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/wX6OY1Rh1D
Fri  01 Mar 2013 20:47:45 +0000,0,0,1658,0,neutral,0,Gone Fishing mobile game,Android,119,Android,ShayansaMitchel,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/9b8uE8MEhY
Fri  01 Mar 2013 20:55:24 +0000,0,0,1659,0,neutral,0,Gone Fishing mobile game,Android,120,Android,ShayansaMitchel,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/tur1cHgNLe
Fri  01 Mar 2013 21:02:26 +0000,4,0,1660,0,neutral,0,Gone Fishing mobile game,Android,33,Android,emgeth,Finally  I have got it! http://t.co/OWlQ78p3Y8 #Android #AndroidGames #gameinsight #drimmi http://t.co/gMr0SNQW9R
Fri  01 Mar 2013 21:39:36 +0000,0,0,1661,0,neutral,0,Gone Fishing mobile game,Android,123,Android,ShayansaMitchel,Finally  I have got it! http://t.co/DfqcFJYc9j #Android #AndroidGames #gameinsight #drimmi http://t.co/rupreH6lzm
Fri  01 Mar 2013 21:46:34 +0000,2,0,1662,0,neutral,0,Gone Fishing mobile game,Android,184,Android,perch22031988,Wow! I have caught this Flat Bream just now! http://t.co/OuA0aTFEjM #Android #AndroidGames #gameinsight #drimmi http://t.co/yLmEI7EzwS
Fri  01 Mar 2013 21:47:43 +0000,2,0,1663,0,neutral,0,Gone Fishing mobile game,Android,185,Android,perch22031988,Look what I have caught! http://t.co/OuA0aTFEjM #Android #AndroidGames #gameinsight #drimmi http://t.co/ynQFxTyZEU
Fri  01 Mar 2013 21:58:57 +0000,12,9,1664,0,neutral,0,Gone Fishing mobile game,Android,57,Android,coletrain3AL,Finally  I have got it! http://t.co/Gd3QJlPNXY #Android #AndroidGames #gameinsight #drimmi http://t.co/lS1PIn6xJi
Fri  01 Mar 2013 23:01:25 +0000,2,0,1665,0,neutral,0,Gone Fishing mobile game,Android,186,Android,perch22031988,Finally  I have got it! http://t.co/OuA0aTFEjM #Android #AndroidGames #gameinsight #drimmi http://t.co/WHpLGUtRdG
Fri  01 Mar 2013 23:01:54 +0000,2,0,1666,0,neutral,0,Gone Fishing mobile game,Android,187,Android,perch22031988,Wow! I have caught this Flat Bream just now! http://t.co/OuA0aTFEjM #Android #AndroidGames #gameinsight #drimmi http://t.co/zfEXV5fbY6
Fri  01 Mar 2013 23:09:23 +0000,0,0,1667,0,neutral,0,Gone Fishing mobile game,Android,8,Android,stagno_joseph,Finally  I have got it! http://t.co/Esg3IcoHPf #Android #AndroidGames #gameinsight #drimmi http://t.co/q8OaGWi5Z7
Fri  01 Mar 2013 23:09:47 +0000,0,0,1668,0,neutral,0,Gone Fishing mobile game,Android,10,Android,stagno_joseph,Look what I have caught! http://t.co/Esg3IcoHPf #Android #AndroidGames #gameinsight #drimmi http://t.co/VLa6dJS0a8
Fri  01 Mar 2013 23:10:04 +0000,0,0,1669,0,neutral,0,Gone Fishing mobile game,Android,10,Android,stagno_joseph,Finally  I have got it! http://t.co/Esg3IcoHPf #Android #AndroidGames #gameinsight #drimmi http://t.co/SOHtQlb2vc
Fri  01 Mar 2013 23:11:03 +0000,0,0,1670,0,neutral,0,Gone Fishing mobile game,Android,11,Android,stagno_joseph,Wow! I have caught this Cisco just now! http://t.co/Esg3IcoHPf #Android #AndroidGames #gameinsight #drimmi http://t.co/Rb9RihYVui
Fri  01 Mar 2013 23:15:30 +0000,3,1,1671,0,neutral,0,Gone Fishing mobile game,Android,813,Android,JosDeMuis,Wow! I have caught this Grayling just now! http://t.co/JjD7WapTSb #Android #AndroidGames #gameinsight #drimmi http://t.co/2YT7uMCpk6
Fri  01 Mar 2013 23:22:52 +0000,9,11,1672,2,neutral,0,Gone Fishing mobile game,Android,51,Android,gopyr8s,Wow! I have caught this Bleak just now! http://t.co/zAR9A0UjVQ #Android #AndroidGames #gameinsight #drimmi http://t.co/6NJejUE9nM
Fri  01 Mar 2013 23:35:35 +0000,9,11,1673,2,neutral,0,Gone Fishing mobile game,Android,53,Android,gopyr8s,Finally  I have got it! http://t.co/zAR9A0UjVQ #Android #AndroidGames #gameinsight #drimmi http://t.co/gevTp5SVfs
Fri  01 Mar 2013 22:37:11 +0000,9,37,2656,0,negative,0,HundredPushups for Android,Android,686,Android,TwitJihadist,Today I did a total of 130 pushups thanks to the Hundred Pushups Android app. (Week 4  Day 3  Level 2) #100Pushups
Fri  01 Mar 2013 22:04:26 +0000,64,84,3432,0,neutral,0,My Railway for Android,Android,451,Android,rvlevy,I opened the new region 7 in My Railway! Download the game for free on #Android! http://t.co/pvHVCOoa9F #androidgames #gameinsight
