id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
6884,robbartlett75,Fri  01 Mar 2013 18:40:37 +0000,Twitter for Android,0,@mattpye69 they gave me a BlackBerry Curve. feels like I'm back in the 90s. otherwise all good. Best to you all,54,132,0,175,Android,Blackberry
6885,masontye1,Fri  01 Mar 2013 18:40:38 +0000,Twitter for Android,0,Just got my new phone and I don't know if I like it I might go back to blackberry,79,30,0,127,Android,Blackberry
6887,mmc_21_,Fri  01 Mar 2013 18:41:03 +0000,Twitter for Android,0,Leaving the blackberry world! #Finally,188,654,0,302,Android,Blackberry
6889,uKNO_iROC,Fri  01 Mar 2013 18:41:10 +0000,Twitter for Android,0,"""@KvonBerrenger: Get us 2 of em RT @uKNO_iROC: I wonder what that # BlackBerry 10 be like"" fuck that",8034,97440,84,4890,Android,Blackberry
6892,magikyul,Fri  01 Mar 2013 18:42:58 +0000,Twitter for Android,0,This 16 year old boy won't stop typing on his blackberry and it is so annoying.,483,71701,13,113,Android,Blackberry
6894,timjob320,Fri  01 Mar 2013 18:44:30 +0000,Twitter for Android,0,Anyone have an old att blackberry phone sitting around they aren't using? Im in need of one. Will pay marginal dollar.,28,499,0,51,Android,Blackberry
6898,RonWilli21,Fri  01 Mar 2013 18:46:19 +0000,Twitter for Android,0,@BlackBerry people are still getting excited over BlackBerry? I thought they were extinct..... Haha,505,8422,1,432,Android,Blackberry
6899,abbiedoc,Fri  01 Mar 2013 18:46:55 +0000,Twitter for Android,0,I love to break my blackberry's #such #a #twat,484,3301,0,1125,Android,Blackberry
6901,TOPsSexSlave,Fri  01 Mar 2013 18:47:56 +0000,Twitter for Android,0,Getting the new BlackBerry.  Yayyy. Now I'll have the Galaxy S3 &amp; the Blackberry z10,820,20793,2,737,Android,Blackberry
6905,sammydeboer_,Fri  01 Mar 2013 18:48:12 +0000,Twitter for Android,0,@alicecrofts_ I told you I lost the blackberry  try remembering-.-,239,4497,0,122,Android,Blackberry
6908,OfficialRomie,Fri  01 Mar 2013 18:56:05 +0000,Twitter for Android,0,@BlackBerry Should I get the Curve or Blackberry10 or the Bold ;o,219,10330,0,206,Android,Blackberry
6910,Sabrinajoedo,Fri  01 Mar 2013 18:56:37 +0000,Twitter for Android,0,New phone! New blackberry!:-P,429,607,0,1111,Android,Blackberry
6914,buyericastuff,Fri  01 Mar 2013 18:57:17 +0000,Twitter for Android,0,@rcurtis_ i want them to update their shit i miss blackberry lol,348,4739,1,258,Android,Blackberry
6915,LDAY_ASE,Fri  01 Mar 2013 18:57:49 +0000,Twitter for Android,0,Fuck this galaxy imma get that blackberry 10,216,2323,0,334,Android,Blackberry
6919,irrelevantuser,Fri  01 Mar 2013 18:58:17 +0000,Twitter for Android,0,Who cares RT @BlackBerry: Less than one month until #BlackBerry10 makes its debut in the #USA. Find out details here: http://t.co/oeTt07uyCz,1070,36185,16,60,Android,Blackberry
6923,PrettiDNTdoCOKE,Fri  01 Mar 2013 18:58:46 +0000,Twitter for Android,0,I kinda want the new BlackBerry 10 just to be different,354,5544,6,376,Android,Blackberry
6924,liamjsanderson,Fri  01 Mar 2013 18:58:51 +0000,Twitter for Android,0,@Amscreen_Simon times must be hard if your working with the failing @UK_BlackBerry,50,418,1,124,Android,Blackberry
6927,AlEssaSaraa,Fri  01 Mar 2013 18:59:55 +0000,Twitter for Android,0,I hope i can survive without my blackberry ;'(,299,9176,0,120,Android,Blackberry
6928,iamjack98,Fri  01 Mar 2013 19:00:27 +0000,Twitter for Android,0,Being the 1% of twitter to never own a Blackberry,2140,5650,0,2193,Android,Blackberry
6932,PrincessAnmol,Fri  01 Mar 2013 19:00:55 +0000,Twitter for Android,0,@PawGulati wtfffff i dont have my blackberry and dms dont work whatsapp me,675,19894,1,1956,Android,Blackberry
6933,WhoRaven_,Fri  01 Mar 2013 19:01:58 +0000,Twitter for Android,0,I'm getting that new blackberry !! ,472,19952,0,404,Android,Blackberry
6934,sabo21,Fri  01 Mar 2013 19:02:00 +0000,Twitter for Android,0,@SeanVanderbrook @itstimbennett @BlackBerry @Ryan_Mahoney I miss my keyboard so much,378,4344,2,323,Android,Blackberry
6937,RuffaEscano,Fri  01 Mar 2013 19:03:12 +0000,Twitter for Android,0,Damn. My #blackberry is lowbatt. My extra phone is about to die with my #girls #formerteammates #teamninjas,91,1600,0,67,Android,Blackberry
6938,halimatuskarim,Fri  01 Mar 2013 19:03:14 +0000,Twitter for Android,0,#marchwishlist blackberry 10,289,21338,1,266,Android,Blackberry
6939,moe_doee,Fri  01 Mar 2013 19:03:25 +0000,Twitter for Android,0,Blackberry tryna comeback.,263,3763,1,258,Android,Blackberry
6947,AlEssaSaraa,Fri  01 Mar 2013 19:05:36 +0000,Twitter for Android,0,Ohhhh my god life is hard without a blackberry!!!!!,299,9178,0,120,Android,Blackberry
6948,xManour,Fri  01 Mar 2013 19:05:52 +0000,Twitter for Android,0,One day without my blackberry feels awkward..,922,30577,3,781,Android,Blackberry
6949,THELASTMIMZY_,Fri  01 Mar 2013 19:06:33 +0000,Twitter for Android,0,"""@_Naydean: its a blackberry? let it go mate."" Better than your phone",713,55540,14,376,Android,Blackberry
6950,Strad_Live,Fri  01 Mar 2013 19:06:42 +0000,Twitter for Android,0,Blackberry 10? What can you do BBM?,410,9724,0,445,Android,Blackberry
6956,BeMarshall,Fri  01 Mar 2013 19:08:25 +0000,Twitter for Android,0,Just saw a promoted tweet for BlackBerry 10.  how irrelevant are blackberrys now. Didnt even know they were still around. #pointlesstweet,64,1746,0,255,Android,Blackberry
6957,Gerry_White,Fri  01 Mar 2013 19:08:35 +0000,Twitter for Android,0,Less than one month until #BlackBerry10 makes its debut in the #USA. Find out details here: http://t.co/UjhPF2kYEA,80,1563,0,52,Android,Blackberry
6964,_CusImQuirky_,Fri  01 Mar 2013 19:11:09 +0000,Twitter for Android,0,If you have a blackberry  then you will know how happy i am to have a new phone that isnt a blackberry. About time,333,302,1,503,Android,Blackberry
6969,ronil_06,Fri  01 Mar 2013 19:12:18 +0000,Twitter for Android,0,Im gona miss my bb #blackberry #somanymomories #bbm :(,60,380,0,83,Android,Blackberry
6973,Emmy891,Fri  01 Mar 2013 19:12:56 +0000,Twitter for Android,0,"Na wetin ur 1st son go do u ""@Adeyem_i: Cc @Emmy891 RT @Questionnier: Cc that ur friend you Can Sell for a blackberry charger ?""""",1472,143052,10,986,Android,Blackberry
6974,collinslc,Fri  01 Mar 2013 19:13:19 +0000,Twitter for Android,0,@DstrdlyDan this was just for u  nobody else has one. RT@BlackBerry: Less than one month until #BlackBerry10 makes its debut in the #USA.,58,1886,0,76,Android,Blackberry
6976,kittymaggiecat,Fri  01 Mar 2013 19:14:04 +0000,Twitter for Android,0,@Marco_AFTMtx blackberry will mess you up in life you won't get it back to how it used to be,843,39882,3,634,Android,Blackberry
6979,btsloane,Fri  01 Mar 2013 19:15:14 +0000,Twitter for Android,0,"RT""@BlackBerry: Less than a month until #BlackBerry10 makes USA debut.""-Rumor is that nylon string will actually be provided w/ this tin can",41,1818,0,115,Android,Blackberry
6980,livs_11,Fri  01 Mar 2013 19:15:33 +0000,Twitter for Android,0,I love my new phone so much better than the blackberry,336,5747,0,291,Android,Blackberry
6982,Mitchel09111995,Fri  01 Mar 2013 19:15:53 +0000,Twitter for Android,0,Lol BlackBerry thee http://t.co/xVKcqQcnKX,113,3283,0,287,Android,Blackberry
6985,rb_fin,Fri  01 Mar 2013 19:16:57 +0000,Twitter for Android,0,Will @TradeKing have blackberry app coming for the new phones?,53,363,1,176,Android,Blackberry
6988,El_BlackHbk,Fri  01 Mar 2013 19:18:19 +0000,Twitter for Android,0,Blackberry?,221,5264,0,234,Android,Blackberry
6990,EastGotBeats,Fri  01 Mar 2013 19:19:04 +0000,Twitter for Android,0,Blackberry hanging on for dear life!,324,4794,3,297,Android,Blackberry
6993,Launch48Exeter,Fri  01 Mar 2013 19:19:44 +0000,Twitter for Android,0,RIM's BlackBerry challenge: the people who are staying - and who have left http://t.co/YltuDmaPpH #tech #blackberry,189,333,2,458,Android,Blackberry
6996,Jodie_wild_97,Fri  01 Mar 2013 19:21:34 +0000,Twitter for Android,0,@katejenkin_ no I wanted someone with a blackberry haha !! Xxxx,269,3066,0,473,Android,Blackberry
6998,JanaSalmane,Fri  01 Mar 2013 19:21:43 +0000,Twitter for Android,0,Life was so much easier when Apple and Blackberry were just fruits !,49,540,0,98,Android,Blackberry
7001,faizalk123,Fri  01 Mar 2013 19:22:38 +0000,Twitter for Android,0,@BlackBerry I got z10 today.,8,7,0,14,Android,Blackberry
7003,ZxAxify,Fri  01 Mar 2013 19:22:45 +0000,Twitter for Android,0,Finally got a new phone!! Goodbye shitty blackberry  hello HTC ;D,6,34,0,17,Android,Blackberry
7006,meaghanbailey,Fri  01 Mar 2013 19:23:16 +0000,Twitter for Android,0,Blackberry  stop trying to be relevant. Ain't nobody wanna see that on their tl.,138,2803,0,272,Android,Blackberry
7008,faizalk123,Fri  01 Mar 2013 19:23:55 +0000,Twitter for Android,0,@BlackBerry I got z10. But I have to learn more about it.,8,8,0,14,Android,Blackberry
7011,TheIMYFather,Fri  01 Mar 2013 19:24:01 +0000,Twitter for Android,0,@crackberrykevin did you do a tutorial on the calculator? It has so much to offer and has so much built in. #ftw #winning #blackberry #z10,613,24248,12,462,Android,Blackberry
7014,swtsty,Fri  01 Mar 2013 19:24:43 +0000,Twitter for Android,0,"""@Questionnier: Cc that ur friend you Can Sell for a blackberry charger ?""@hipzyi05",607,18241,3,322,Android,Blackberry
7016,BradDickherber,Fri  01 Mar 2013 19:25:03 +0000,Twitter for Android,0,@kennydodson did you have the new blackberry?,78,736,0,122,Android,Blackberry
7020,CragerMeister,Fri  01 Mar 2013 19:27:00 +0000,Twitter for Android,0,Someone bring me a blackberry peach rockstar :'(,102,7494,0,62,Android,Blackberry
7024,WhitneyyElijahh,Fri  01 Mar 2013 19:28:10 +0000,Twitter for Android,0,I wish I still had a blackberry.those things made it through everything #unbreakable,126,2276,0,99,Android,Blackberry
7029,AbhyudayaR,Fri  01 Mar 2013 19:29:06 +0000,Twitter for Android,0,BlackBerry Issues Update for BlackBerry 10 with Battery Life  Camera Improvements http://t.co/sxw1AOcvYs,68,1626,0,90,Android,Blackberry
7035,xpreetiieboo_x,Fri  01 Mar 2013 19:30:28 +0000,Twitter for Android,0,My First Phone Was A BlackBerry,646,8970,0,275,Android,Blackberry
7039,Rab_Live251,Fri  01 Mar 2013 19:31:40 +0000,Twitter for Android,0,Blackberry 10 looking marvelous,965,73231,21,804,Android,Blackberry
7042,shnewmdad,Fri  01 Mar 2013 19:33:05 +0000,Twitter for Android,0,Canadian club dock 57 blackberry whiskey is my new liquor of choice,377,33080,1,356,Android,Blackberry
7043,nateckennedy,Fri  01 Mar 2013 19:33:58 +0000,Twitter for Android,0,Was about to unsubscribe from Blackberry emails when I noticed you can WRITE THEM AN ACTUAL LETTER TO UNSUBSCRIBE FROM THEIR EMAILS! #fb,764,10588,45,1183,Android,Blackberry
7049,harsee4all,Fri  01 Mar 2013 19:35:45 +0000,Twitter for Android,0,@BlackBerry i still dream for Z10 to be in my hand in next week... hope so my dream come true.,23,1569,0,63,Android,Blackberry
7050,ThaRealbs,Fri  01 Mar 2013 19:36:41 +0000,Twitter for Android,0,"This mofo ===&gt; @Abruzzii94  ""@Iam_volltz: Cc that ur friend you Can Sell for a blackberry charger ?""",3158,13944,3,977,Android,Blackberry
7052,Olapluswale,Fri  01 Mar 2013 19:37:32 +0000,Twitter for Android,0,"Y have more dan one? @Press_Play_: How many Blackberry phones do u have?""",1259,16145,2,989,Android,Blackberry
7055,Bassant_Shaheen,Fri  01 Mar 2013 19:38:21 +0000,Twitter for Android,0,@SerahSalem admit it blackberry is a stupid phone,1106,10422,12,121,Android,Blackberry
7060,kissykennysmatt,Fri  01 Mar 2013 19:40:26 +0000,Twitter for Android,0,Blackberry Users Are Pregnant,1183,68043,13,590,Android,Blackberry
7064,katiegalloway_,Fri  01 Mar 2013 19:50:13 +0000,Twitter for Android,0,trying to dry out my blackberry with a hair dryer  its not working:(((((,711,8563,3,1685,Android,Blackberry
7068,Obetron1967,Fri  01 Mar 2013 19:51:59 +0000,Twitter for Android,0,@BlackBerry hahaha blackberry = dinosaur. My HTC One X+ rules  as most smartphones do.,8,421,0,56,Android,Blackberry
7070,Abdul_alomair,Fri  01 Mar 2013 19:52:19 +0000,Twitter for Android,0,@ME_BlackBerry could you plesse advise us when will issue the whatsapp application in blackberry Z10 ?!,111,606,1,211,Android,Blackberry
7075,katiegalloway_,Fri  01 Mar 2013 19:54:03 +0000,Twitter for Android,0,anyone selling a blackberry then?,711,8565,3,1685,Android,Blackberry
7078,KellyJRobinson,Fri  01 Mar 2013 19:54:29 +0000,Twitter for Android,0,"""@BlackBerry: Friends in the U.S.  pre-register for your #BlackBerry10 device here: http://t.co/buKv7FFXnY"" @wendyjmrobinson",456,1342,14,205,Android,Blackberry
7081,DerrickMugalo,Fri  01 Mar 2013 19:55:00 +0000,Twitter for Android,0,The boot time for the BlackBerry Z10. far faster than all the others!,128,1674,0,695,Android,Blackberry
7083,itsclaudiaufart,Fri  01 Mar 2013 19:55:19 +0000,Twitter for Android,0,"""@kfesslahhh: #twitterconfession I miss the red blinking light on my blackberry"" me too!",177,14887,1,189,Android,Blackberry
