,X,user,date,source,retweets,tweet,followers,statuses,listed,friends,source_cleaned,tweettopic
8845,8846,berbatee22,Fri  01 Mar 2013 22:16:45 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,45,1121,0,91,BlackBerry,Android
8855,8856,osiraj,Fri  01 Mar 2013 22:18:58 +0000,Twitter for BlackBerry??,0,@ZHidayatullah recommend u stick with Android browser. The Jelly Bean web browser built in  is the best.,15,2041,0,83,BlackBerry,Android
8947,8948,KeepZeeFree,Fri  01 Mar 2013 22:42:12 +0000,Twitter for BlackBerry??,0,Can't wait till I get my android soon  can't be dealing with shitberry any longer,371,5869,0,274,BlackBerry,Android
8991,8992,Ikz27,Fri  01 Mar 2013 22:52:53 +0000,Twitter for BlackBerry??,0,@SaminaBibi27 I use a cheat app too  but its only on android and its unlimited hehe :P btw  check yur fne x,1009,614,0,24,BlackBerry,Android
8996,8997,kuteniva214,Fri  01 Mar 2013 22:53:46 +0000,Twitter for BlackBerry??,0,U r tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,322,2620,1,309,BlackBerry,Android
9087,9088,arrumdwia,Fri  01 Mar 2013 23:16:47 +0000,Twitter for BlackBerry??,0,"Workshop Android ""Make It Easy With PhonegpGap"" @ukmpcc",47,76,0,108,BlackBerry,Android
9115,9116,deeboii01,Fri  01 Mar 2013 23:24:41 +0000,Twitter for BlackBerry??,0,Girls out here be shaped like the android mascot O.O,521,9419,0,268,BlackBerry,Android
9162,9163,khaylasabrina,Fri  01 Mar 2013 23:37:48 +0000,Twitter for BlackBerry??,0,"LOL  it's truly funny to hear my own voice while sleeping. ""Sleep talk recorder app"" on android market.. :D",35,676,0,182,BlackBerry,Android
12594,12595,Da_bomb89,Fri  01 Mar 2013 18:46:12 +0000,UberSocial for BlackBerry,0,Ur money come oo RT @freddiePBS: Back on Android,349,17080,0,291,BlackBerry,Android
12601,12602,Eve_SN,Fri  01 Mar 2013 18:58:21 +0000,UberSocial for BlackBerry,0,#Forever now FREE limited time http://t.co/UKvLuKMJwD  Kobo Reading App free on iPad &amp; Android  check it out! #Vampires #ParanormalRomance,164,2313,2,340,BlackBerry,Android
12636,12637,Uzzy_JFM,Fri  01 Mar 2013 20:04:01 +0000,UberSocial for BlackBerry,0,*take Mic* RT @iTs_OverXposed: time to run android files on this bb10,803,12445,3,680,BlackBerry,Android
12642,12643,4Ls2Ns1A,Fri  01 Mar 2013 20:10:07 +0000,UberSocial for BlackBerry,0,Android is the new ish,185,13398,0,137,BlackBerry,Android
12645,12646,4Ls2Ns1A,Fri  01 Mar 2013 20:10:30 +0000,UberSocial for BlackBerry,0,Moving to android as soon as I can comfortably afford it,185,13399,0,137,BlackBerry,Android
12648,12649,woo_really_care,Fri  01 Mar 2013 20:13:01 +0000,UberSocial for BlackBerry,0,But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish,493,24418,1,305,BlackBerry,Android
12649,12650,4Ls2Ns1A,Fri  01 Mar 2013 20:16:49 +0000,UberSocial for BlackBerry,0,That's what they say about every new BB RT @woo_really_care: But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish,185,13403,0,137,BlackBerry,Android
12657,12658,Eve_SN,Fri  01 Mar 2013 20:26:38 +0000,UberSocial for BlackBerry,0,#Forever FREE limited time on http://t.co/UKvLuKMJwD Kobo Reading App free on iPad &amp; Android  so check it out!#ForeverSeries #Vampires,165,2315,2,341,BlackBerry,Android
12661,12662,phil87_,Fri  01 Mar 2013 20:34:51 +0000,UberSocial for BlackBerry,0,Thanks a lot RT @jadejewel101: @phil87_  A message for you. PinQuotes Android App http://t.co/kLXDiA2rkB,87,420,0,610,BlackBerry,Android
12694,12695,adelaw01,Fri  01 Mar 2013 21:42:19 +0000,UberSocial for BlackBerry,0,( '.') RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,332,9496,1,518,BlackBerry,Android
12695,12696,LoDdaDon,Fri  01 Mar 2013 21:42:34 +0000,UberSocial for BlackBerry,0,#Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,763,26848,2,1007,BlackBerry,Android
12696,12697,Daobee_Uzoma,Fri  01 Mar 2013 21:45:13 +0000,UberSocial for BlackBerry,0,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,225,1970,1,335,BlackBerry,Android
12697,12698,xoubaedah,Fri  01 Mar 2013 21:45:32 +0000,UberSocial for BlackBerry,0,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,1021,29050,3,424,BlackBerry,Android
12699,12700,marshal1050,Fri  01 Mar 2013 21:48:05 +0000,UberSocial for BlackBerry,0,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,194,2667,0,224,BlackBerry,Android
12700,12701,TeemaMaigana,Fri  01 Mar 2013 21:49:11 +0000,UberSocial for BlackBerry,0,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,472,17669,0,210,BlackBerry,Android
12708,12709,mstracylee,Fri  01 Mar 2013 21:54:40 +0000,UberSocial for BlackBerry,0,#doit RT @johnalessio79: Im thinking about get rid of my Android smartphone &amp; going back to a pager ....... ... http://t.co/32kF8ET86f,30473,25481,734,925,BlackBerry,Android
12718,12719,JustinSuave,Fri  01 Mar 2013 22:16:36 +0000,UberSocial for BlackBerry,0,"""UberSocial For Android"" what an asshole :(",710,122561,6,336,BlackBerry,Android
12719,12720,JustinSuave,Fri  01 Mar 2013 22:21:58 +0000,UberSocial for BlackBerry,0,"Lol your bundles will run out an you'll be back on your bb RT @Thube_lihle: :-) RT JustinSuave ""UberSocial For Android"" what an asshole :(",710,122566,6,336,BlackBerry,Android
12720,12721,Super_Beavs,Fri  01 Mar 2013 22:28:53 +0000,UberSocial for BlackBerry,0,200$ deal !!!!!! RT @DwannieD: Android phone for sale....if your interested Dm me,282,39240,0,244,BlackBerry,Android
12728,12729,TheLionMint,Fri  01 Mar 2013 23:12:00 +0000,UberSocial for BlackBerry,0,@msafara_ that's what I was thinking. I miss a few android twitter clients,2926,100283,16,770,BlackBerry,Android
12730,12731,fredierror,Fri  01 Mar 2013 23:14:08 +0000,UberSocial for BlackBerry,0,Lu android black? RT @bimr_: Wow she's fuckin cute... let me know your name please,80,4054,0,133,BlackBerry,Android
12737,12738,Siwisusan,Fri  01 Mar 2013 23:39:20 +0000,UberSocial for BlackBerry,0,Early Bird@Centro Galaxy 2-3 March 13 Disc up to 50% 5X Points win prizes up to 54 juta:Android Tab 7.0 &amp; ... http://t.co/tp7VbszhPh,66,372,0,162,BlackBerry,Android
14873,14874,kentm8,Fri  01 Mar 2013 21:47:24 +0000,A.plus for BlackBerry,0,Bet wetin consine us? RT @Azendahh: RT @LoDdaDon: #Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID ... http://t.co/lDSYjEGz3o,263,13746,0,250,BlackBerry,Android
18482,18670,MduzaVanGogh,Fri  01 Mar 2013 21:12:16 +0000,NewsForward for BlackBerry,0,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source,770,30043,4,583,BlackBerry,Android
18483,18671,MduzaVanGogh,Fri  01 Mar 2013 21:12:16 +0000,NewsForward for BlackBerry,0,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source,770,30037,4,583,BlackBerry,Android
20378,20654,The_Dp_Thief,Fri  01 Mar 2013 21:40:43 +0000,"Tower Heist Takeover, BlackBerry",0,Nd That's How 15k killed My android dream sha! *sigh*,1296,57694,3,984,BlackBerry,Android
22743,23173,aasifshabbir,Fri  01 Mar 2013 19:22:28 +0000,Twitter for BlackBerry,0,Paging all disgruntled iSheeps/android users. http://t.co/U3FjCq3JkV,91,1696,2,101,BlackBerry,Android
22796,23228,_Papi_92,Fri  01 Mar 2013 21:06:30 +0000,Twitter for BlackBerry,0,Android News Feed. The application with all your favorite sites. https://t.co/isOLrN6f2o,260,12186,1,264,BlackBerry,Android
22832,23264,paulgarner,Fri  01 Mar 2013 22:12:26 +0000,Twitter for BlackBerry,0,A week on with the Z10 and Playbook. Z10 surprises me everyday with how good it is and how little I miss Android. Everything's so easy.,154,5660,6,96,BlackBerry,Android
22874,23306,BOBODESIRES,Fri  01 Mar 2013 18:15:20 +0000,Twitter for BlackBerry??,0,Apple (AAPL) Mobile OS Market Share Slips in U.S. as Android (GOOG) Gains,79,5965,0,231,BlackBerry,Android
22996,23435,Holdsy_OneLove,Fri  01 Mar 2013 19:16:09 +0000,Twitter for BlackBerry??,0,Gettin one of those smartphones! Listening to @qbgh going  #android!,160,4433,0,144,BlackBerry,Android
23062,23501,FiezaHlim,Fri  01 Mar 2013 19:32:27 +0000,Twitter for BlackBerry??,0,Tweeting via android is much better than bb.,1864,10524,6,1276,BlackBerry,Android
23084,23523,jcfunk_skamilla,Fri  01 Mar 2013 19:35:52 +0000,Twitter for BlackBerry??,0,@Cylon2013 Thanks Man you Rock just like an android haha!,864,10235,3,1107,BlackBerry,Android
23129,23568,aseembakshi,Fri  01 Mar 2013 19:56:47 +0000,Twitter for BlackBerry??,0,@vibhurishi there's a small company called apple that might disagree with your analysis that all phones are android :),71,771,0,53,BlackBerry,Android
23166,23605,MissaLov3,Fri  01 Mar 2013 20:04:30 +0000,Twitter for BlackBerry??,0,@OnceUponAFan just downloaded your app on my android  and I love it!,805,110047,34,245,BlackBerry,Android
23172,23611,MEHcockyLonger,Fri  01 Mar 2013 20:05:39 +0000,Twitter for BlackBerry??,0,Android Life,203,3785,0,304,BlackBerry,Android
23187,23626,Thelifeofchuma,Fri  01 Mar 2013 20:09:20 +0000,Twitter for BlackBerry??,0,"Must u open his secret? @Thompson__BCP: U were NT on BB before !""@FXCKIKYZS: Android phones are damn annoying gat to go bk to bb.",1472,16593,1,618,BlackBerry,Android
23207,23646,FantaLemonHoe,Fri  01 Mar 2013 20:12:36 +0000,Twitter for BlackBerry??,0,I need a good game on android any recommendations?,1147,5410,0,1142,BlackBerry,Android
23261,23701,arzleb,Fri  01 Mar 2013 20:25:38 +0000,Twitter for BlackBerry??,0,I love #Ubuntu mobile fast and battery is better then android.,2523,19111,103,615,BlackBerry,Android
23354,23796,RShabrina,Fri  01 Mar 2013 20:53:32 +0000,Twitter for BlackBerry??,0,@H_isnotonfire ahh... My ktalk isn't effective bcs it's used in blckberry == better in android,325,15174,0,319,BlackBerry,Android
23405,23848,GentrySegun,Fri  01 Mar 2013 21:05:55 +0000,Twitter for BlackBerry??,0,"Kk would check it out.. Wanna geh a wifi router nxt week ""@ainathegreat: @GentrySegun download subway surfers cool android game""",370,2206,0,351,BlackBerry,Android
23407,23850,mrmbash,Fri  01 Mar 2013 21:06:27 +0000,Twitter for BlackBerry??,0,The most secure Android phone in the world (maybe) http://t.co/dMsQndYcOX,45,1297,0,41,BlackBerry,Android
23415,23859,msafara_,Fri  01 Mar 2013 21:08:41 +0000,Twitter for BlackBerry??,0,This Android app .. Swiftkey. Is the best keyboard for any  Android device,466,9475,0,440,BlackBerry,Android
23420,23864,msafara_,Fri  01 Mar 2013 21:09:33 +0000,Twitter for BlackBerry??,0,Soon you can upgrade that Galaxy Nexus to the latest version of android,466,9476,0,440,BlackBerry,Android
23526,23976,s2sandhu,Fri  01 Mar 2013 21:41:09 +0000,Twitter for BlackBerry??,0,IF THEY SET THAT ANDROID FREE IT WILL BE THE END OF ALL OF US!!! NOOOOOOOOOOOOOOOOO!,41,2984,0,61,BlackBerry,Android
23529,23979,Wizzle_Bee,Fri  01 Mar 2013 21:41:28 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",968,40949,2,907,BlackBerry,Android
23531,23981,Ayflitz,Fri  01 Mar 2013 21:42:19 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",218,5551,0,205,BlackBerry,Android
23540,23991,ivan1BARON,Fri  01 Mar 2013 21:43:21 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",176,6150,1,304,BlackBerry,Android
23544,23995,Aceballer1,Fri  01 Mar 2013 21:43:45 +0000,Twitter for BlackBerry??,0,"Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",137,4214,0,345,BlackBerry,Android
23546,23997,Oseholic,Fri  01 Mar 2013 21:43:52 +0000,Twitter for BlackBerry??,0,":s ""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",381,3079,1,349,BlackBerry,Android
23558,24009,peaceman_721,Fri  01 Mar 2013 21:45:05 +0000,Twitter for BlackBerry??,0,"Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",93,1567,0,374,BlackBerry,Android
23560,24011,fr3sh_ish,Fri  01 Mar 2013 21:45:58 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,594,15530,0,275,BlackBerry,Android
23561,24012,enisexy21,Fri  01 Mar 2013 21:46:30 +0000,Twitter for BlackBerry??,0,"Tell em""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",1081,11594,4,802,BlackBerry,Android
23576,24027,chinkichun,Fri  01 Mar 2013 21:48:37 +0000,Twitter for BlackBerry??,0,"Lol ""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",92,766,1,138,BlackBerry,Android
23577,24028,Major0235,Fri  01 Mar 2013 21:48:39 +0000,Twitter for BlackBerry??,0,Tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,177,4374,0,217,BlackBerry,Android
23610,24063,SpiderExpert,Fri  01 Mar 2013 21:55:16 +0000,Twitter for BlackBerry??,0,@notadroneirl im a real human being who appreciates your spidertweet by the way  not no spider hunting robot android,209,2246,0,321,BlackBerry,Android
23618,24073,Abdul10_MUFC,Fri  01 Mar 2013 21:57:04 +0000,Twitter for BlackBerry??,0,Wow Samsung won their case against Apple I see. $1BN is a lot of money. Moving forward  Apple or Android?,1914,39779,60,1919,BlackBerry,Android
23635,24091,RShabrina,Fri  01 Mar 2013 21:59:46 +0000,Twitter for BlackBerry??,0,More saving~ buy android soon..,325,15198,0,319,BlackBerry,Android
23651,24107,Imran_Imlayhat,Fri  01 Mar 2013 22:03:52 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,729,18352,0,560,BlackBerry,Android
23690,24149,dibby_tiffy,Fri  01 Mar 2013 22:12:30 +0000,Twitter for BlackBerry??,0,@Shavii_Android oh ok,81,3784,0,78,BlackBerry,Android
23713,24172,berbatee22,Fri  01 Mar 2013 22:16:45 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,45,1121,0,91,BlackBerry,Android
23723,24182,osiraj,Fri  01 Mar 2013 22:18:58 +0000,Twitter for BlackBerry??,0,@ZHidayatullah recommend u stick with Android browser. The Jelly Bean web browser built in  is the best.,15,2041,0,83,BlackBerry,Android
23815,24278,KeepZeeFree,Fri  01 Mar 2013 22:42:12 +0000,Twitter for BlackBerry??,0,Can't wait till I get my android soon  can't be dealing with shitberry any longer,371,5869,0,274,BlackBerry,Android
23859,24323,Ikz27,Fri  01 Mar 2013 22:52:53 +0000,Twitter for BlackBerry??,0,@SaminaBibi27 I use a cheat app too  but its only on android and its unlimited hehe :P btw  check yur fne x,1009,614,0,24,BlackBerry,Android
23864,24328,kuteniva214,Fri  01 Mar 2013 22:53:46 +0000,Twitter for BlackBerry??,0,U r tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,322,2620,1,309,BlackBerry,Android
23955,24423,arrumdwia,Fri  01 Mar 2013 23:16:47 +0000,Twitter for BlackBerry??,0,"Workshop Android ""Make It Easy With PhonegpGap"" @ukmpcc",47,76,0,108,BlackBerry,Android
23983,24451,deeboii01,Fri  01 Mar 2013 23:24:41 +0000,Twitter for BlackBerry??,0,Girls out here be shaped like the android mascot O.O,521,9419,0,268,BlackBerry,Android
24030,24500,khaylasabrina,Fri  01 Mar 2013 23:37:48 +0000,Twitter for BlackBerry??,0,"LOL  it's truly funny to hear my own voice while sleeping. ""Sleep talk recorder app"" on android market.. :D",35,676,0,182,BlackBerry,Android
27462,28040,Da_bomb89,Fri  01 Mar 2013 18:46:12 +0000,UberSocial for BlackBerry,0,Ur money come oo RT @freddiePBS: Back on Android,349,17080,0,291,BlackBerry,Android
27469,28047,Eve_SN,Fri  01 Mar 2013 18:58:21 +0000,UberSocial for BlackBerry,0,#Forever now FREE limited time http://t.co/UKvLuKMJwD  Kobo Reading App free on iPad &amp; Android  check it out! #Vampires #ParanormalRomance,164,2313,2,340,BlackBerry,Android
27504,28083,Uzzy_JFM,Fri  01 Mar 2013 20:04:01 +0000,UberSocial for BlackBerry,0,*take Mic* RT @iTs_OverXposed: time to run android files on this bb10,803,12445,3,680,BlackBerry,Android
27510,28089,4Ls2Ns1A,Fri  01 Mar 2013 20:10:07 +0000,UberSocial for BlackBerry,0,Android is the new ish,185,13398,0,137,BlackBerry,Android
27513,28092,4Ls2Ns1A,Fri  01 Mar 2013 20:10:30 +0000,UberSocial for BlackBerry,0,Moving to android as soon as I can comfortably afford it,185,13399,0,137,BlackBerry,Android
27516,28095,woo_really_care,Fri  01 Mar 2013 20:13:01 +0000,UberSocial for BlackBerry,0,But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish,493,24418,1,305,BlackBerry,Android
27517,28096,4Ls2Ns1A,Fri  01 Mar 2013 20:16:49 +0000,UberSocial for BlackBerry,0,That's what they say about every new BB RT @woo_really_care: But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish,185,13403,0,137,BlackBerry,Android
27525,28104,Eve_SN,Fri  01 Mar 2013 20:26:38 +0000,UberSocial for BlackBerry,0,#Forever FREE limited time on http://t.co/UKvLuKMJwD Kobo Reading App free on iPad &amp; Android  so check it out!#ForeverSeries #Vampires,165,2315,2,341,BlackBerry,Android
27529,28108,phil87_,Fri  01 Mar 2013 20:34:51 +0000,UberSocial for BlackBerry,0,Thanks a lot RT @jadejewel101: @phil87_  A message for you. PinQuotes Android App http://t.co/kLXDiA2rkB,87,420,0,610,BlackBerry,Android
27562,28141,adelaw01,Fri  01 Mar 2013 21:42:19 +0000,UberSocial for BlackBerry,0,( '.') RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,332,9496,1,518,BlackBerry,Android
27563,28142,LoDdaDon,Fri  01 Mar 2013 21:42:34 +0000,UberSocial for BlackBerry,0,#Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,763,26848,2,1007,BlackBerry,Android
27564,28143,Daobee_Uzoma,Fri  01 Mar 2013 21:45:13 +0000,UberSocial for BlackBerry,0,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,225,1970,1,335,BlackBerry,Android
