,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
8710,B_REEZY95,Fri  01 Mar 2013 21:48:45 +0000,Twitter for BlackBerry??,0,@RebekahSargeant lmao remmeber I still have a blackberry -_-  I can't see iphone smilys:(  since in an uncle am I an UILF ;)?,239,11090,0,345,BlackBerry,iOS_BB
8718,_Loyaltyiskeyy,Fri  01 Mar 2013 21:50:54 +0000,Twitter for BlackBerry??,0,Wow my mom got a blackberry 10 nothing compared to my iphone &amp; berry lmaoo so madd,320,24936,0,75,BlackBerry,iOS_BB
8721,kingvanderbilt,Fri  01 Mar 2013 21:51:48 +0000,Twitter for BlackBerry??,0,Ok so am test drive the iphone 4S :D oh yes sweet!! Fuck a blackberry,360,20319,1,314,BlackBerry,iOS_BB
8723,charlotteserese,Fri  01 Mar 2013 21:52:06 +0000,Twitter for BlackBerry??,0,Need to get rid of this shitty blackberry and get myself an iphone #ootoot,128,649,0,128,BlackBerry,iOS_BB
8726,FiveStarRahim,Fri  01 Mar 2013 21:52:23 +0000,Twitter for BlackBerry??,0,Only use my Iphone for instagram only use my blackberry for BBM,150,199,0,151,BlackBerry,iOS_BB
8740,chantirose,Fri  01 Mar 2013 21:54:23 +0000,Twitter for BlackBerry??,0,Internet on my Blackberry sucks mad choade. Can't even check my work e-mail. Need to switch teams soon. Samsung Galaxy 3S or Iphone 5?,30,1412,0,86,BlackBerry,iOS_BB
8755,Prettii01,Fri  01 Mar 2013 21:57:24 +0000,Twitter for BlackBerry??,0,Who hav ah blackberry allyuh issa boss! N if allyun hav iphone or galaxy allyuh dred 2!!!! Dyaz it dun tlk lmao #phones #technology,33,378,0,260,BlackBerry,iOS_BB
8757,Catherinexo_,Fri  01 Mar 2013 21:57:43 +0000,Twitter for BlackBerry??,0,Never ever  ever buying a Blackberry again. #shouldbeteamiPhone,175,1232,6,111,BlackBerry,iOS_BB
8766,Joserobertobs_,Fri  01 Mar 2013 21:59:28 +0000,Twitter for BlackBerry??,0,?? #iPhone vs #Blackberry ? #iPhone.,30,402,0,30,BlackBerry,iOS_BB
8780,KellySixsmith,Fri  01 Mar 2013 22:03:02 +0000,Twitter for BlackBerry??,0,Hate how Owen got an iphone and I lost my BlackBerry Messenger buddy :(,766,13421,0,391,BlackBerry,iOS_BB
8797,freshfruits_djs,Fri  01 Mar 2013 22:06:54 +0000,Twitter for BlackBerry??,0,Switching between a blackberry and an iPhone for different people makes me feel like such a P.I.M.P,777,12837,13,320,BlackBerry,iOS_BB
8800,RhiannaSimone,Fri  01 Mar 2013 22:07:25 +0000,Twitter for BlackBerry??,0,The emojis for Iphone messages are so cool... Blackberry  you are shite.,185,6027,1,211,BlackBerry,iOS_BB
8806,mullarkey800,Fri  01 Mar 2013 22:09:43 +0000,Twitter for BlackBerry??,0,love that when my iphone dies I can turn to my blackberry and the other way round (although my blackberry is a piece of poo),291,4816,0,119,BlackBerry,iOS_BB
8849,Charley_Eves,Fri  01 Mar 2013 22:18:08 +0000,Twitter for BlackBerry??,0,Fed up of having a blackberry and everyone using enoji and all I see is black squares #stupidblackberry #needtheiphone5,144,5450,2,154,BlackBerry,iOS_BB
8853,opoka17,Fri  01 Mar 2013 22:18:40 +0000,Twitter for BlackBerry??,0,My IPHONE 8S causes me problems because it says I'm tweeting from a blackberry. #Deception,68,592,0,19,BlackBerry,iOS_BB
8856,itsamelia__,Fri  01 Mar 2013 22:19:33 +0000,Twitter for BlackBerry??,0,Its not even funny that I can get iPhone emotions on whattsapp for blackberry  but I can't get them on my iPod psh,1573,11598,5,1857,BlackBerry,iOS_BB
8875,_Karen_P,Fri  01 Mar 2013 22:22:46 +0000,Twitter for BlackBerry??,0,The only reason I wanted a Blackberry was for bbm  but now most people are getting iPhones  soo..,187,6746,1,735,BlackBerry,iOS_BB
8884,KrittenBailey,Fri  01 Mar 2013 22:24:35 +0000,Twitter for BlackBerry??,0,There's all my friends whipping out their iphones and playing subway surf. So I whip my blackberry out and play snake.,165,372,0,254,BlackBerry,iOS_BB
8885,Mooser_EsBee,Fri  01 Mar 2013 22:24:36 +0000,Twitter for BlackBerry??,0,Omgg!! Hell No  I'm Weary Of Blackberry As A Whole Talkless Of That Z10  Switching To IOs Soon :D @Thug_LaeF,598,28286,2,456,BlackBerry,iOS_BB
8886,marcgamit,Fri  01 Mar 2013 22:24:40 +0000,Twitter for BlackBerry??,0,why did I chose blackberry over iphone. I get mad every time I think about it,288,9334,0,189,BlackBerry,iOS_BB
8898,meganrouch,Fri  01 Mar 2013 22:27:32 +0000,Twitter for BlackBerry??,0,"""@georgepool1000: @meganrouch gay gay gay having a blackberry"" iphone wanker",792,14089,0,748,BlackBerry,iOS_BB
8922,TheDanHunt,Fri  01 Mar 2013 22:36:57 +0000,Twitter for BlackBerry??,0,My brother has an iPhone 5 now.... And I still have a Blackberry.. What is wrong with the world? :'(,280,2977,0,499,BlackBerry,iOS_BB
8932,lukebrooksmyboo,Fri  01 Mar 2013 22:38:48 +0000,Twitter for BlackBerry??,0,On my brothers old blackberry. Omg. So not used to not typing on a blackberry anymore. iPhones are so much better :),350,1825,1,355,BlackBerry,iOS_BB
8938,LydiaHeishman,Fri  01 Mar 2013 22:39:59 +0000,Twitter for BlackBerry??,0,This is my last tweet from the crappy blackberry #helloiphone,143,517,0,219,BlackBerry,iOS_BB
8978,allysonvv,Fri  01 Mar 2013 22:49:29 +0000,Twitter for BlackBerry??,0,Just switched my phones over.. Now I am sending texts from my blackberry and receiving them on my iphone.. Hmmm,208,1193,0,221,BlackBerry,iOS_BB
8990,BlackBerryQ10,Fri  01 Mar 2013 22:52:50 +0000,Twitter for BlackBerry??,0,"""@Bev_Muff: Now I'm TOTALLY confused...Samsung? Iphone5? Blackberry Q10?"" Can anyone help Bev out?",183,374,2,192,BlackBerry,iOS_BB
8992,g_chelseax,Fri  01 Mar 2013 22:53:02 +0000,Twitter for BlackBerry??,0,Am I doing the right thing getting an iphone5 and getting rid of my blackberry? HELP,174,2275,0,169,BlackBerry,iOS_BB
8998,_del_b0y,Fri  01 Mar 2013 22:54:04 +0000,Twitter for BlackBerry??,0,Yep  I'm the one who had an iPhone and then got a BlackBerry instead. Let's all laugh at Scarlett...,1479,43957,5,747,BlackBerry,iOS_BB
9024,St_Fosse,Fri  01 Mar 2013 23:00:16 +0000,Twitter for BlackBerry??,0,Blackberry you suck dick  work when I need you to god damn it  ill get a fucking iphone I swear to god. #Truestory,26,154,0,34,BlackBerry,iOS_BB
9034,kkaaiiccii,Fri  01 Mar 2013 23:03:00 +0000,Twitter for BlackBerry??,0,buhhhh bye team iphone :) hhhello blackberry bold! Missed you mucho :* :),284,5534,0,119,BlackBerry,iOS_BB
9048,NoraMetajx,Fri  01 Mar 2013 23:05:30 +0000,Twitter for BlackBerry??,0,Hardly ever go on my blackberry since I got my iphone Lol,265,1984,0,249,BlackBerry,iOS_BB
9057,Justin_Jwzz_,Fri  01 Mar 2013 23:07:21 +0000,Twitter for BlackBerry??,0,RT Blackberry Iphone,76,804,0,129,BlackBerry,iOS_BB
9064,VerityRamsay,Fri  01 Mar 2013 23:09:35 +0000,Twitter for BlackBerry??,0,Transferring from blackberry to iphone no one text/call me until tomorrow afternoon,238,2415,4,669,BlackBerry,iOS_BB
9067,emmbarbs,Fri  01 Mar 2013 23:11:30 +0000,Twitter for BlackBerry??,0,iPhone's have way cooler cases than blackberry's..,176,3815,0,199,BlackBerry,iOS_BB
9070,maatthill,Fri  01 Mar 2013 23:12:16 +0000,Twitter for BlackBerry??,0,Last week with my blackberry #iphone,151,2252,1,172,BlackBerry,iOS_BB
9085,Joe_Etherington,Fri  01 Mar 2013 23:16:17 +0000,Twitter for BlackBerry??,0,As soon as I get an iphone this blackberry is getting smashed up by a hammer  I can't stand it,307,5947,0,240,BlackBerry,iOS_BB
9102,ImTheBestestHoe,Fri  01 Mar 2013 23:20:58 +0000,Twitter for BlackBerry??,0,8year old brother has an iphone 5  13 year old brother&amp;both parents have iphone 4&amp; I got a shit Blackberry:'( !; fuck ya'll I got an ipad,147,796,0,153,BlackBerry,iOS_BB
9129,PWHambling,Fri  01 Mar 2013 23:27:40 +0000,Twitter for BlackBerry??,0,Hoping to be back on iPhone in a few days  sick to death of this blackberry not working properly!,624,17716,6,952,BlackBerry,iOS_BB
9145,AMOJ_Fanfics,Fri  01 Mar 2013 23:33:54 +0000,Twitter for BlackBerry??,0,(c) one and I don't know when she's gonna  but I will start writing either on my blackberry or iPhone :)x,13,16,0,7,BlackBerry,iOS_BB
9157,Lovatic_guyXD,Fri  01 Mar 2013 23:36:41 +0000,Twitter for BlackBerry??,0,Why is twitter not working on my iphone...got no choice but to use my crappy blackberry ugh!!,815,1850,0,603,BlackBerry,iOS_BB
12602,ItsSimplyZoe,Fri  01 Mar 2013 18:59:36 +0000,UberSocial for BlackBerry,0,But...??? RT @Leon_Payn: All the cool people are leaving blackberry...as from April if you don't have ios. I have news for you..,141,4199,1,121,BlackBerry,iOS_BB
12651,emceeque,Fri  01 Mar 2013 20:18:11 +0000,UberSocial for BlackBerry,0,Lol RT @ik_slick: RT @iPhoneTeam: BlackBerry Creative Director Alicia Keys tweets from iPhone  claims Twitter ... http://t.co/hGgfwvvCwr,322,24207,1,278,BlackBerry,iOS_BB
12669,PhiweMandondo,Fri  01 Mar 2013 20:44:44 +0000,UberSocial for BlackBerry,0,While tweeting with your blackberry.. RT @climmie9: I'm on my iPhone  bitches put their naked pictures on my iPad,947,24750,4,737,BlackBerry,iOS_BB
12680,iamSinawo,Fri  01 Mar 2013 21:03:14 +0000,UberSocial for BlackBerry,0,iPhone gets ma vote RT @xoxannabellhard: Can't decide wether I want a blackberry or an iPhone...hhhmmm?? This one is a toughy,62,501,0,93,BlackBerry,iOS_BB
12735,JoeMacsOlivia,Fri  01 Mar 2013 23:28:08 +0000,UberSocial for BlackBerry,0,Dear friends  look at what Telus sent me.  The time has come for a new phone. iphone or the new Blackberry? http://t.co/GHP2780ECN,242,74821,18,367,BlackBerry,iOS_BB
22735,Dirks2point0,Fri  01 Mar 2013 19:06:31 +0000,Twitter for BlackBerry,0,@Y_Strahovski why didn't you get the new BlackBerry? It's awesome and way better than the iphone,31,154,0,128,BlackBerry,iOS_BB
22754,deathmanghous,Fri  01 Mar 2013 19:34:09 +0000,Twitter for BlackBerry,0,@handsomebudii no instagram on BlackBerry. Was using dads iphone 5,8,54,0,40,BlackBerry,iOS_BB
22833,AussieBerry,Fri  01 Mar 2013 22:15:33 +0000,Twitter for BlackBerry,0,It's all a little 007 isn't it? Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers? http://t.co/8h60XNjxjR,1017,13419,38,291,BlackBerry,iOS_BB
22852,wdelves,Fri  01 Mar 2013 22:52:20 +0000,Twitter for BlackBerry,0,"""@Newfielaner: Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers?: http://t.co/I97kg4bBN4"" Go BB10 Go!",37,94,0,190,BlackBerry,iOS_BB
22877,FrimleyR,Fri  01 Mar 2013 18:39:47 +0000,Twitter for BlackBerry??,0,Ppl moan about iPhone battery's  I had a blackberry and now ive got an iPhone.. iPhones are better.,971,9311,0,947,BlackBerry,iOS_BB
22882,Coughiee,Fri  01 Mar 2013 18:41:20 +0000,Twitter for BlackBerry??,0,"RT ""@JordonRuss: I have iPhone 5 should I switch to galaxy?!"" Naa slim  get a blackberry.",171,2249,1,264,BlackBerry,iOS_BB
22902,cjhall1996,Fri  01 Mar 2013 18:47:39 +0000,Twitter for BlackBerry??,0,Back to my Blackberry for now just waiting for my iPhone 5 from pops,179,3689,0,203,BlackBerry,iOS_BB
22939,kennydodson,Fri  01 Mar 2013 19:01:52 +0000,Twitter for BlackBerry??,0,Ready to switch back to team iphone after school... This blackberry is way to slow... Keyboards been cool tho,287,6228,0,162,BlackBerry,iOS_BB
22946,aimeeleighx,Fri  01 Mar 2013 19:03:52 +0000,Twitter for BlackBerry??,0,Someone come to a o2 shop with me and force me to buy a iphone. After nearly 4 years my blackberry needs to go.,81,1833,0,152,BlackBerry,iOS_BB
22957,Benfisc,Fri  01 Mar 2013 19:06:57 +0000,Twitter for BlackBerry??,0,I know #iPHONE people are jealous of me having brick breaker on my blackberry!,272,3018,1,214,BlackBerry,iOS_BB
22961,KarlBAcoustic,Fri  01 Mar 2013 19:07:48 +0000,Twitter for BlackBerry??,0,Only 8 months to go with this Blackberry piece of shite! #iphone5 #cantcomesoonenough,134,1311,0,84,BlackBerry,iOS_BB
22991,m6v33,Fri  01 Mar 2013 19:14:12 +0000,Twitter for BlackBerry??,0,Coveteousness - Iphone5s Samsung Galazy S3 BlackBerry Porsche and BlackBerry Z10. One person. You get question to answer from GOD,130,3013,0,376,BlackBerry,iOS_BB
23007,daniel_perez78,Fri  01 Mar 2013 19:17:43 +0000,Twitter for BlackBerry??,0,Since I have no iphone for a few weeks I've been using the blackberry. Add me on BBM - 331990D3 #bbm,496,5229,1,271,BlackBerry,iOS_BB
23032,Valeriaapp,Fri  01 Mar 2013 19:23:27 +0000,Twitter for BlackBerry??,0,Bye bye word blackberry..welcome word iphone:),210,4389,2,291,BlackBerry,iOS_BB
23034,BeloveDMboneni,Fri  01 Mar 2013 19:23:49 +0000,Twitter for BlackBerry??,0,"""@MsNicci_: My Blackberry .. IPhone &amp; Samsung ... MTN  Vodacom &amp; Cell C ... Lol""tjo so many?Give me the iPhone and you'll have the other 2 ???",106,7692,0,85,BlackBerry,iOS_BB
23037,PowerMyPresence,Fri  01 Mar 2013 19:24:30 +0000,Twitter for BlackBerry??,0,"Blackberry""@HungryEmarati: Dear iphone  a day without is like a year without rain.""",742,7090,0,601,BlackBerry,iOS_BB
23057,TPushpa,Fri  01 Mar 2013 19:31:01 +0000,Twitter for BlackBerry??,0,Cannot wait till my phone contract finishes so I can drop kick this piece of shit blackberry and get a Iphone!,333,5261,1,473,BlackBerry,iOS_BB
23065,AbdulAlmoree,Fri  01 Mar 2013 19:33:40 +0000,Twitter for BlackBerry??,0,iPhone and Blackberry to team up and make an iBerry.,1801,12202,2,257,BlackBerry,iOS_BB
23075,am_bobby,Fri  01 Mar 2013 19:35:01 +0000,Twitter for BlackBerry??,0,All blackberry phone available both d new&amp;used iphone4 4s n 5 samsung tablets Ps3 laptops all in stock..,1422,14108,3,796,BlackBerry,iOS_BB
