id,predicted,text
302,u,I've collected 8 130 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight
320,u,I've collected 13 660 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
328,u,I've harvested 947 of food! http://t.co/nZRMz9m5Ob #android  #androidgames  #gameinsight
329,u,I've collected 4 462 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight
330,u,I've harvested 67 of food! http://t.co/o9DOVra56E #android  #androidgames  #gameinsight
333,u,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/AXkd7uqjnx
355,u,I've collected 16 375 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight
356,u,I've collected 11 190 gold coins! http://t.co/OZ6ajPiQH9 #android  #androidgames  #gameinsight
359,n,@KickUpOrShutup dumb ass android keyboard  cut me some slack
360,u,I've collected 575 gold coins! http://t.co/wQ2ZRUM5lm #android  #androidgames  #gameinsight
363,u,I've harvested 353 of food! http://t.co/o9DOVra56E #android  #androidgames  #gameinsight
364,n,@choochoobear if it's any consolation  I get no warnings from Android browser  even though that's kinda Chrome.
365,u,I've harvested 450 of food! http://t.co/7JJYjeLlGx #android  #androidgames  #gameinsight
366,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/rE3os7T8Fu
373,p,@dcorsetto my android device gets it just fine ;-)
374,p,My phone was just gon be dead until I found somebody in conference with an android charger.
375,u,The "Heavy machinery" collection in Big Business has been completed! 81 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames
376,u,New 2 class "??uisines of the world" award received! 78 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames
378,u,I have completed the quest 'Safe stone mining.' in the #Android game The Tribez. http://t.co/c29xGyvgG1 #androidgames  #gameinsight
380,u,I've harvested 240 of food! http://t.co/e5pgOGEZaQ #android  #androidgames  #gameinsight
382,u,Start playing Paradise Island on Android http://t.co/TIQpEZhk3Q #Android #Androidgames #Gameinsight http://t.co/Msb4W5orhx
385,u,I got 212 208 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl
393,u,I've collected 3 665 gold coins! http://t.co/wQ2ZRUM5lm #android  #androidgames  #gameinsight
394,p,Sonic Dash confirmed  and it's an endless runner. If it's anything like Temple Run (and on Android!) I will rejoice.
395,u,I've harvested 370 of food! http://t.co/ltnaQADZMG #android  #androidgames  #gameinsight
396,n,@jorelizlang @mcchernandez How the heck do I do that on a Motorola android??
397,u,I've collected 182 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
400,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/EZjZUlFhlc
403,u,I've harvested 50 of food! http://t.co/9WOFPsnXWA #android  #androidgames  #gameinsight
404,u,I have Carnival Platform on my island! Now my island is even more awesome! http://t.co/nqgpGNApAN #android  #androidgames  #gameinsight
405,u,I've collected 180 gold coins! http://t.co/ImEBDQ5Tbq #android  #androidgames  #gameinsight
406,u,I've collected 12 410 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
418,u,JABODETABEK android gathering | 10 march 2013 | lapangan futsal monas | 12 P.M till die | Android development &amp; Games | see you there guys!
420,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/frtgXwfSH1
423,u,I've harvested 25 of food! http://t.co/kbXelSU0T3 #android  #androidgames  #gameinsight
430,u,I've harvested 300 of food! http://t.co/HLZDLCsv9n #android  #androidgames  #gameinsight
439,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/YLO0ZK4nyT
440,u,I've collected 23 900 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
442,u,I've collected 21 917 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight
445,u,I've earned a new achievement: `Bather`. Try to beat me in the #Android game The Tribez! http://t.co/lgH59eUEqx #androidgames  #gameinsight
446,u,I've collected 40 970 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
459,u,The "Bonsai" collection in Big Business has been completed! 10 http://t.co/esbJGenIwD #android #gameinsight #androidgames
461,u,I've collected 23 455 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight
469,u,Start playing Paradise Island on Android http://t.co/am3fUnvVwt #Android #Androidgames #Gameinsight http://t.co/Jp2ajrHiEz
476,p,back to twitter for android
478,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/WdclfIRWE9
480,u,I've harvested 1 103 of food! http://t.co/t7ctiGfYJ7 #android  #androidgames  #gameinsight
481,u,I've harvested 433 of food! http://t.co/MCIpjahJQ8 #android  #androidgames  #gameinsight
483,u,I've collected 676 gold coins! http://t.co/6xK7Kuuwid #android  #androidgames  #gameinsight
484,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/8mhmEGb8yV
487,u,I've collected 41 295 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight
499,u,I've collected 55 160 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
501,u,I have completed the quest 'Upgrading the Anci...' in the #Android game The Tribez. http://t.co/MDCemMmrl8 #androidgames  #gameinsight
504,u,I've just received an achievement: Capitalist http://t.co/ri8RyR2ZnA #Android #Androidgames #Gameinsight
508,u,I've collected 690 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
512,u,Just reached level 23 on Paradise Island on my Android http://t.co/8JP42zuqMF #Android #Androidgames #Gameinsight
523,u,I've harvested 781 of food! http://t.co/UWeSJDPqHg #android  #androidgames  #gameinsight
525,u,I've collected 1 505 gold coins! http://t.co/HtULiUdXVq #android  #androidgames  #gameinsight
530,u,I've collected 45 250 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
535,u,I've collected 24 810 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight
536,u,I've collected 45 650 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
556,u,I've collected 13 709 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight
559,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/bOoKg2Ilz9
560,u,I've earned a new achievement: `Fighter`. Try to beat me in the #Android game The Tribez! http://t.co/X3Sut0XTxa #androidgames  #gameinsight
561,u,Google Glass offered for $16 000 on eBay - http://t.co/xXKpVlv2bC

 - sent from my Android phone with Guardian Anywhere
564,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/3ZLLfV79TB
568,u,I've collected 3 607 gold coins! http://t.co/6xK7Kuuwid #android  #androidgames  #gameinsight
585,u,I have completed the quest 'Watch the road and...' in the #Android game The Tribez. http://t.co/1KXoDZ1X1A #androidgames  #gameinsight
586,u,The "Service center" collection in Big Business has been completed! 21 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames
587,u,I've just received an achievement: Responsive http://t.co/a6RiLqnraZ #Android #Androidgames #Gameinsight
590,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/tzqILPgmCR
591,u,I got 177 168 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl
593,u,I've collected 120 gold coins! http://t.co/W5IpOwzvir #android  #androidgames  #gameinsight
615,u,The "Gas station" collection in Big Business has been completed! 20 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames
617,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/zhthcLB7a0
618,u,I've collected 16 642 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight
620,u,I've collected 13 140 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
632,p,Finally twitter on my android phone!
633,u,I've harvested 310 of food! http://t.co/kuRztGjzSE #android  #androidgames  #gameinsight
634,u,I've collected 4 008 gold coins! http://t.co/0Iu2F6umEs #android  #androidgames  #gameinsight
635,u,Start playing Paradise Island on Android http://t.co/HEMpoRKkIx #Android #Androidgames #Gameinsight http://t.co/wzyTqGrIka
636,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/AqJ4DnMfsi
637,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/jl1GAsVQoL
638,u,I have Fence on my island! Now my island is even more awesome! http://t.co/SjyQjFQskd #android  #androidgames  #gameinsight
640,u,I have Forester`s Hut on my island! Now my island is even more awesome! http://t.co/OlUD2sqoOD #android  #androidgames  #gameinsight
641,u,I've earned a new achievement: `Lord`. Try to beat me in the #Android game The Tribez! http://t.co/U6BTPq93IJ #androidgames  #gameinsight
642,u,I've harvested 1 025 of food! http://t.co/yLqQAltxdE #android  #androidgames  #gameinsight
643,u,I have reached level 25 in The Tribez! Join in and try to overtake me! http://t.co/bNk0GKFBpR #android  #androidgames  #gameinsight
644,u,The "Sushi" collection in Big Business has been completed! 35 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames
658,u,The Tribez is a great game! Try to become a tribal leader! http://t.co/W8zYXwQIeE #android  #androidgames  #gameinsight
659,u,I've collected 14 122 gold coins! http://t.co/A6VEmTs6wy #android  #androidgames  #gameinsight
660,u,I have completed the quest 'Complete tutorial.' in the #Android game The Tribez. http://t.co/6ORSmEwg3T #androidgames  #gameinsight
661,u,I have reached level 5 in The Tribez! Join in and try to overtake me! http://t.co/qOK3SSRkS1 #android  #androidgames  #gameinsight
662,u,Start playing Paradise Island on Android http://t.co/b6jN8Lqia1 #Android #Androidgames #Gameinsight http://t.co/Nu2UdaTVKI
663,u,I've harvested 1 684 of food! http://t.co/3fNskGOk2P #android  #androidgames  #gameinsight
664,u,I've collected 9 223 gold coins! http://t.co/suGJpGENU0 #android  #androidgames  #gameinsight
665,u,I've harvested 300 of food! http://t.co/72BN4dlP0J #android  #androidgames  #gameinsight
666,u,I've collected 65 915 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
667,u,The "Heavy machinery" collection in Big Business has been completed! 80 http://t.co/zEC6Fk2j0q #android #gameinsight #androidgames
669,u,I've collected 9 605 gold coins! http://t.co/0Iu2F6umEs #android  #androidgames  #gameinsight
684,u,I have completed the quest 'Build the first An...' in the #Android game The Tribez. http://t.co/1KXoDZ1X1A #androidgames  #gameinsight
697,n,@Po_eLementGirl oh i see what kind of android phone did you used? .
707,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/M4nZUVcrI2
708,u,I have Cauldron on my island! Now my island is even more awesome! http://t.co/OlUD2sqoOD #android  #androidgames  #gameinsight
709,u,I have completed the quest 'Resource delivery ...' in the #Android game The Tribez. http://t.co/8f6n5obTIi #androidgames  #gameinsight
710,u,I've just received an achievement: Inhabited Island! http://t.co/cFmJDTF5BN #Android #Androidgames #Gameinsight
711,u,I've collected 62 795 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight
712,u,I've collected 11 400 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight
715,u,I've harvested 300 of food! http://t.co/baMhJkv2xy #android  #androidgames  #gameinsight
717,n,@Simply_Marie17 you'd have to see it in person to understand why I like it. If u get a hold of an android phone look up Falcon Pro.
718,p,@LowKeySwanks lol I feel deprived I can't see emoji cuz am using Android lol
719,u,I've collected 27 463 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight
737,u,I've collected 29 200 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight
740,u,I've collected 15 224 gold coins! http://t.co/sH1VOrybMd #android  #androidgames  #gameinsight
742,u,I'm listening to One Direction - One Way Or Another via MelOn for Android App at 28 Feb 2013 15:14:24
743,u,I've collected 29 923 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight
762,u,I've collected 22 006 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight
768,u,Ayyo #FM keta battery going down very quickly #android mobile
769,u,I've collected 11 900 gold coins! http://t.co/oIYHbN1oCj #android  #androidgames  #gameinsight
785,u,I've harvested 870 of food! http://t.co/ltnaQADZMG #android  #androidgames  #gameinsight
787,u,I've collected 10 249 gold coins! http://t.co/XDaiVGEsUf #android  #androidgames  #gameinsight
788,u,I have completed the quest 'Find 5 Succulent F...' in the #Android game The Tribez. http://t.co/8f6n5obTIi #androidgames  #gameinsight
789,u,I got 147 936 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl
790,u,I've harvested 726 of food! http://t.co/D6pJsBTLwL #android  #androidgames  #gameinsight
794,u,I've collected 10 049 gold coins! http://t.co/bk4sMccGK5 #android  #androidgames  #gameinsight
810,u,I have Stonehenge on my island! Now my island is even more awesome! http://t.co/IaBjdgOOAt #android  #androidgames  #gameinsight
813,u,I have reached level 33 in The Tribez! Join in and try to overtake me! http://t.co/IzlwgRDFmu #android  #androidgames  #gameinsight
816,u,I've collected 11 615 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
820,u,I've collected 25 410 gold coins! http://t.co/Xlaf0FSFBB #android  #androidgames  #gameinsight
835,u,I've harvested 213 of food! http://t.co/jtm72dfmre #android  #androidgames  #gameinsight
836,u,I've collected 12 961 gold coins! http://t.co/BXOGLNPvfP #android  #androidgames  #gameinsight
837,u,I've collected 717 gold coins! http://t.co/nf9VdxsQD7 #android  #androidgames  #gameinsight
840,u,I've collected 11 900 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
841,u,Android needs emojis..
842,n,@Travis_McCleary i cant see that emoji #android
843,u,Start playing Paradise Island on Android http://t.co/HEMpoRKkIx #Android #Androidgames #Gameinsight http://t.co/fSJm3btxyg
844,u,I've harvested 4 of food! http://t.co/R9rp3Es4s1 #android  #androidgames  #gameinsight
846,n,@GANBATU I recommend you to use UnfollowID v 1.0. 
Visit the links from your android phone. 
UnfollowID v 1.0 ( http://t.co/zm9iAtXXu2 )
847,u,I've collected 10 445 gold coins! http://t.co/x5bRzvifVu #android  #androidgames  #gameinsight
848,u,I've collected 3 266 gold coins! http://t.co/Dr6FREx7gl #android  #androidgames  #gameinsight
862,u,I've harvested 480 of food! http://t.co/BhUib5gYDL #android  #androidgames  #gameinsight
864,u,I have Altar of Feelings on my island! Now my island is even more awesome! http://t.co/YzlVdRtybV #android  #androidgames  #gameinsight
866,u,I've collected 41 625 gold coins! http://t.co/XDaiVGEsUf #android  #androidgames  #gameinsight
872,u,I've collected 7 405 gold coins! http://t.co/6e1bcZliSJ #android  #androidgames  #gameinsight
875,u,I have Bathhouse on my island! Now my island is even more awesome! http://t.co/xM4vP5eI8p #android  #androidgames  #gameinsight
892,n,Even just typing normally   the SwiftKey keyboard is way better than the stock Android keyboard.
893,u,I've just finished new quest! I'd love for you to come and get a gift from me! http://t.co/89nAwFixDF #android #androidgames #gameinsight
894,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/yjODr9HKku
897,u,Start playing Paradise Island on Android http://t.co/QxfcC1AlGY #Android #Androidgames #Gameinsight http://t.co/6vYkB2L3wo
899,u,Let's celebrate! I've completed a quest  Match of the Century! This game is amazing!http://t.co/4xBHI7QFSm #Android #AndroidGames #GameInsi
900,u,I've collected 408 gold coins! http://t.co/W5IpOwzvir #android  #androidgames  #gameinsight
902,u,I have completed the quest 'Build an Altar of ...' in the #Android game The Tribez. http://t.co/ItGrtGHp3H #androidgames  #gameinsight
903,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/ceZY7BD64h
915,u,I've collected 28 737 gold coins! http://t.co/XDaiVGEsUf #android  #androidgames  #gameinsight
917,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/g88g3VW7iv
919,u,I have completed the quest 'Build 6 Decorative...' in the #Android game The Tribez. http://t.co/8f6n5obTIi #androidgames  #gameinsight
920,u,#radiobahrain   what is the android app for 96.5 fm ?
921,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/HWds7enxsm
924,u,I've collected 20 912 gold coins! http://t.co/XDaiVGEsUf #android  #androidgames  #gameinsight
942,n,Google play store? RT @KapanduH: Uuuhmmm  guys  whats the Android "App Store" called? #Twoogle
944,u,I've collected 17 595 gold coins! http://t.co/TEiAnu3HkQ #android  #androidgames  #gameinsight
945,u,I've harvested 1 080 of food! http://t.co/baMhJkv2xy #android  #androidgames  #gameinsight
947,u,I have House on my island! Now my island is even more awesome! http://t.co/SDOuU9O4Ww #android  #androidgames  #gameinsight
950,u,I've harvested 38 of food! http://t.co/Pkj0bmh2ca #android  #androidgames  #gameinsight
951,n,@Mr_DoIt4YaLady im team android...if this is an emoji then uve successfully made me feel inferior to u...just for now tho lol
952,u,I've collected 699 gold coins! http://t.co/TEiAnu3HkQ #android  #androidgames  #gameinsight
953,u,Start playing Paradise Island on Android http://t.co/QxfcC1AlGY #Android #Androidgames #Gameinsight http://t.co/9oAfcW15IZ
954,u,I've collected 15 122 gold coins! http://t.co/x5bRzvifVu #android  #androidgames  #gameinsight
963,u,I've collected 21 758 gold coins! http://t.co/Xlaf0FSFBB #android  #androidgames  #gameinsight
966,u,I've just received an achievement: Tax Collector http://t.co/a6RiLqnraZ #Android #Androidgames #Gameinsight
967,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/D5cTMpBKzP
971,u,I've earned a new achievement: `Breeder`. Try to beat me in the #Android game The Tribez! http://t.co/11hYX5svgK #androidgames  #gameinsight
972,u,I've harvested 175 of food! http://t.co/bbiWoSTM8i #android  #androidgames  #gameinsight
989,u,I've collected 17 400 gold coins! http://t.co/TEiAnu3HkQ #android  #androidgames  #gameinsight
991,u,I have completed the quest 'Chop down the Big ...' in the #Android game The Tribez. http://t.co/oK6yT02zOw #androidgames  #gameinsight
992,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/PiCozyvrXe
995,n,@theheraldsun thats the reason why im using Android
998,u,I've collected 25 690 gold coins! http://t.co/x5bRzvifVu #android  #androidgames  #gameinsight
1003,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/WZZoDyDNqO
1013,u,I've harvested 425 of food! http://t.co/Pkj0bmh2ca #android  #androidgames  #gameinsight
1018,u,Google working on experimental 3.8 Linux kernel for Android http://t.co/Na4eixghN4
1020,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/qCAD5ldlKG
1021,u,Start playing Paradise Island on Android http://t.co/vBwCypqI4o #Android #Androidgames #Gameinsight http://t.co/5NzJQWxeuw
1023,u,I've collected 10 400 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
1024,u,I've collected 6 652 gold coins! http://t.co/Dr6FREx7gl #android  #androidgames  #gameinsight
1025,u,I've harvested 1 143 of food! http://t.co/LmdLjP6ole #android  #androidgames  #gameinsight
1026,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/zz8mjWo29M
1037,p,I hate my phone can't snapshot my screen &amp; this an android to
1039,u,I've collected 23 700 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
1041,u,I've collected 51 565 gold coins! http://t.co/TEiAnu3HkQ #android  #androidgames  #gameinsight
1042,n,I'm finally a part of the android family :')
1044,u,I've collected 11 215 gold coins! http://t.co/6xK7Kuuwid #android  #androidgames  #gameinsight
1045,u,I have completed the quest 'Wood and lumber.' in the #Android game The Tribez. http://t.co/8f6n5obTIi #androidgames  #gameinsight
1046,u,I've collected 12 620 gold coins! http://t.co/MmUKTZVJpA #android  #androidgames  #gameinsight
1047,u,I've harvested 1 288 of food! http://t.co/D6pJsBTLwL #android  #androidgames  #gameinsight
1049,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/SOecbrMe7q
1051,u,I've harvested 170 of food! http://t.co/R9rp3Es4s1 #android  #androidgames  #gameinsight
1066,u,Start playing Paradise Island on Android http://t.co/UogoM7s8kL #Android #Androidgames #Gameinsight http://t.co/E4mrKV7xWr
1069,u,Start playing Paradise Island on Android http://t.co/b6jN8Lqia1 #Android #Androidgames #Gameinsight http://t.co/LF84XHEJCo
1072,u,I've harvested 1 744 of food! http://t.co/Eavl3y4fyO #android  #androidgames  #gameinsight
1074,u,Start playing Paradise Island on Android http://t.co/vBwCypqI4o #Android #Androidgames #Gameinsight http://t.co/vSFMgzcivc
1077,u,I have completed the quest 'Collect income fro...' in the #Android game The Tribez. http://t.co/fuhwTfVEFl #androidgames  #gameinsight
1094,u,Start playing Paradise Island on Android http://t.co/vBwCypqI4o #Android #Androidgames #Gameinsight http://t.co/E2FHdvJSmk
1097,u,New #android #app: Fake Emails http://t.co/qNzi0RR2P9
1099,u,New #android #app: Vaginal Itching Treatment http://t.co/9AB8oVIxh9
1102,u,I've harvested 949 of food! http://t.co/MCIpjahJQ8 #android  #androidgames  #gameinsight
