id,predicted,source,source_cleaned,tweettopic,user,text
878,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,SimmieMhlungu,"Waaaiiit? What?! :/ RT @Raw_KayJay: Hahaa  bIS is now gunna have a cap :""""""""D ahh I'm done.... I'm DONE! Fuck y??u blackberry  fuck u!"
881,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Greeezea,@ee_mhan Who says  people get stay in touch with blackberry only!!!!!!!!!!
886,u,QuickPull,BlackBerry,Blackberry,herrybule,Running a @QuickPull on my BlackBerry. Brb!
889,u,QuickPull,BlackBerry,Blackberry,HertyPamella,Running a @QuickPull on my BlackBerry. Brb!
907,u,QuickPull,BlackBerry,Blackberry,senoflyboy,Running a @QuickPull on my BlackBerry. Brb!
912,u,QuickPull,BlackBerry,Blackberry,MacasadiaAA,Running a @QuickPull on my BlackBerry. Brb! :)
932,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Ellie_Doll,Iph to galaxy note and now blackberry... I'm in love!!    #bringing b.b back lol
934,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,ee_mhan,Lol I say so! Its much easier RT@Greeezea: @ee_mhan Who says  people get stay in touch with blackberry only!!!!!!!!!!
938,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Alexis_Mokhine,But a blackberry is a shit phone hey!
957,u,Twitter for BlackBerry??,BlackBerry,Blackberry,iMickyParsons,Why can't they show headers on blackberry's?
960,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,RemLDN,Lol oi you lot  if you're 16+ you can't have a Blackberry as a main phone
977,u,Twitter for BlackBerry??,BlackBerry,Blackberry,IkhwanJalil,Power save battery blackberry ni sumpah takde function. Fak
987,u,QuickPull,BlackBerry,Blackberry,JoshRelova,Running a @QuickPull on my BlackBerry. Brb!
988,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Greeezea,Lol  soo you don't have a blackberry but ur tweets still says Via twitter for blackberry Lol  u can't lie. http://t.co/nEJOYz9qTO
1005,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,ZKhan1996,Twitter for blackberry is retarded  doesn't load images lmao
1010,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Kerstan5499,@x0beckax0 a new blackberry 9320 and no no pictures no music or nothing
1031,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,undercovaBADASS,I hate my stupid blackberry
1034,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,iareTerry,Oh yeah so I just voted for @sal_ange on that blackberry ambassador ting  I was voter 400 too. Then I followed on twitter! Do it!
1036,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Angry_news,@zipoffs it says so on my nifty twitter app on my blackberry
1059,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,NamesOrehh,@DenzelTheGreat_: ?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? ?????? oga oh. Really?
1060,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Lyn_Christyers,"?????????????  Ba????e?? ???BlackBerry??  ??????? -_- """
1061,u,Twitter for BlackBerry??,BlackBerry,Blackberry,jessica120601,Good photo olly and get well soon skye - blackberry ??????
1062,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Le_Brad6,Blackberry battery life is saddening
1064,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,EmilyMcauley2,Titter on a BlackBerry is rubbish !...
1081,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,Amy_JaneRoss,200MB?! Is MTN for real? Is Blackberry services killing their profit that much that now they have to have such insane restrictions?!
1082,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,anniesays,Blackberry flopped me this morning!
1084,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,DJ_ChampSA,"Fucked up battery ""@Alexis_Mokhine: But a blackberry is a shit phone hey!"""
1111,u,QuickPull,BlackBerry,Blackberry,zackycm,Running a @QuickPull on my BlackBerry. Brb!
1114,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,L3FTY_moriski,Nope RT @_Munchkin10: RT @Alexis_Mokhine: But a blackberry is a shit phone hey!
1115,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,iamdeandrey,@MotsoPitsi lmfao u not getting me I'm saying blackberry is not gona have bis anymore we r gona b like nokia n all of them
1117,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,jayned0nnelly17,Always a laugh when my phone switches off so my alarm doesn't go off. Woke up 15 mins before leaving the house :-) #looklikeshit #blackberry
1138,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,enidjm,@shenepekeur @nickyvs Yep Shene I feel ur pain  die blackberry photo quality is not ayoba!
1139,u,QuickPull,BlackBerry,Blackberry,Bimz_Dudulz,Running a @QuickPull on my BlackBerry. Brb!
1141,negative,TweetCaster for BlackBerry,BlackBerry,Blackberry,rezaramadan9,So I just deleted the stupid twitter for blackberry  and switched it to Tweetcaster  which is a million way better.
1142,u,QuickPull,BlackBerry,Blackberry,YulianAdii,Running a @QuickPull on my BlackBerry. Brb!
1143,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,imDhawal,RT @jhunjhunwala: Mobile Phones cost more.Great  so the Blackberry Z10 can now get costlier just like Kareena ... http://t.co/fuB8HIPrIl
1144,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,_AoifeMaire,only I would sleep through a fucking blackberry alarm  ffs!
1146,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,Greeezea,RT @Greeezea: Lol  soo you don't have a blackberry but ur tweets still says Via twitter for blackberry Lol  ... http://t.co/nwuY0dlQh8
1167,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,imeqan,@Nrdiana_: Blackberry come to me come to....
1183,u,Twitter for BlackBerry??,BlackBerry,Blackberry,badrolhisham7,Running a @QuickPull on my BlackBerry. Brb!
1184,u,QuickPull,BlackBerry,Blackberry,puguh_doank,Running a @QuickPull on my BlackBerry. Brb!
1186,u,Twitter for BlackBerry??,BlackBerry,Blackberry,missmeghanjadex,Love twitter on my blackberry!
1188,u,Twitter for BlackBerry??,BlackBerry,Blackberry,KarlaaJade,@mickey_emmott no I've got a blackberry ant I what was it?
1191,u,UberSocial for BlackBerry,BlackBerry,Blackberry,dulrimsondang,Blackberry is bapuk
1192,u,QuickPull,BlackBerry,Blackberry,enalzone,Running a @QuickPull on my BlackBerry. Brb!
1209,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,fresh_khalifah,New update on Blackberry AppWorld. For 3mb size of an update just to change the App Store name into Blackberry World. LOL
1235,u,QuickPull,BlackBerry,Blackberry,maydie23,Running a @QuickPull on my BlackBerry. Brb!
1238,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,kickthealex,@itsonlyabigail oh god  I need to get kik for my blackberry but I can't find it D:
1239,u,QuickPull,BlackBerry,Blackberry,RieyanaDhevii,Running a @QuickPull on my BlackBerry. Brb!
1241,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,alunjohnh,My Blackberry just rang  spun round a few times and threw itself into the bin. I know just how it feels. Hope it isn't a sign of something.
1258,u,QuickPull,BlackBerry,Blackberry,habibibaharsyah,Running a @QuickPull on my BlackBerry. Brb!
1259,u,QuickPull,BlackBerry,Blackberry,rachsoberano,Running a @QuickPull on my BlackBerry. Brb!
1281,u,QuickPull,BlackBerry,Blackberry,JerliePastor,Running a @QuickPull on my BlackBerry. Brb!
1282,u,Twitter for BlackBerry??,BlackBerry,Blackberry,SallyAmrr,Instagram for blackberry  Ameen.
1287,u,Twitter for BlackBerry??,BlackBerry,Blackberry,likingmystyles_,@JaiBrooks1 do you own a dumb ' smartphone ' called a Blackberry? yeah if you do  then agree that they're shit:(
1315,u,QuickPull,BlackBerry,Blackberry,ArnadRocky,Running a @QuickPull on my BlackBerry. Brb!
1332,u,Twitter for BlackBerry??,BlackBerry,Blackberry,HelplessDelight,@MiMzV go to ur Blackberry menu  under setup should have email settup there or Options will have it 2!!
1333,u,BlackBerry Empire,BlackBerry,Blackberry,bbempire_allan,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/J4HfiQFZ5E
1334,u,BlackBerry Empire,BlackBerry,Blackberry,BBEmpireCanada,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/KmH6St5Iia
1336,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Yogenderchhoker,Re-designed  Re-engineered Re-invented.  Now.!! We Are Blackberry..!(y) Blackberry Z10 pre booking start?????????+917206500031 limited stock
1337,u,UberSocial for BlackBerry,BlackBerry,Blackberry,sandrapohan,thank you blackberry it totally feels like i'm not missing on anything at work :/
1338,u,BlackBerry Empire,BlackBerry,Blackberry,AlanCastell,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/tikLEVpHLS
1339,u,QuickPull,BlackBerry,Blackberry,nevilsoni92,Running a @QuickPull on my BlackBerry. Brb!
1340,u,BlackBerry Empire,BlackBerry,Blackberry,bbempire,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/yHQsTh7uAs
1342,u,BlackBerry Empire,BlackBerry,Blackberry,BBerryEmpire,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/RkyvFGvFRO
1343,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,VicCassidy1,New phone todayy! Can't wait to get away from blackberry  constantly breaking xxxx
1344,u,QuickPull,BlackBerry,Blackberry,JuanSarra,Running a @QuickPull on my BlackBerry. Brb!
1365,u,QuickPull,BlackBerry,Blackberry,CharleeeGreen,Running a @QuickPull on my BlackBerry. Brb! :)
1372,u,Twitter for BlackBerry??,BlackBerry,Blackberry,TheRealHunzo,usage limit of 200MB will apply on the BIS package from the 1/03/2013&amp;will be available as a new BlackBerry plan called BlackBerry Absolute.
1402,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,nnnatene,Wish blackberry's had the same batteries...
1403,u,QuickPull,BlackBerry,Blackberry,its_kaymoney,Running a @QuickPull on my BlackBerry. Brb!
1405,u,QuickPull,BlackBerry,Blackberry,tyskoestiyanto,Running a @QuickPull on my BlackBerry. Brb!
1406,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,CTFUlol,@RemLDN: Lol oi you lot  if you're 16+ you can't have a Blackberry as a main phone loooool
1407,u,QuickPull,BlackBerry,Blackberry,mahalKoSiMaeMae,Running a @QuickPull on my BlackBerry. Brb!
1423,u,Twitter for BlackBerry??,BlackBerry,Blackberry,areeshbass,I'm bad 2 da bone becoz I got a Blackberry cellphone #JustMeKeepingItGangster. ???
1424,u,UberSocial for BlackBerry,BlackBerry,Blackberry,samuelgotama,Just upgraded my blackberry app world into blackberry world. The features are beyond expectation.
1440,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Suhail_Alrashdi,My blackberry's battery is going to be dead within 30 mins.
1444,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Hevstress,@DelvisStifler dude I'm a bit confused  what's that Blackberry Absolute thing  they just sent me a message and I don't get it.
1446,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,_Heretics,I love my BlackBerry.
1447,u,QuickPull,BlackBerry,Blackberry,wawakalam,Running a @QuickPull on my BlackBerry. Brb!
1464,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Dat_Guy_Scrooge,Twitter on blackberry is better than any other device
1467,u,QuickPull,BlackBerry,Blackberry,windapasaribu,Running a @QuickPull on my BlackBerry. Brb!
1480,u,Twitter for BlackBerry??,BlackBerry,Blackberry,PocketBag,@blckredshop Dear all  we selling garskin for blackberry ipone and all gadget.. Wanna? Request pin bb
1481,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Computer_Villa,If you know anyone who wants a BlackBerry Z10. It's N114 000 with us but N108 000 if you order on twitter. Kindly RT
1502,u,QuickPull,BlackBerry,Blackberry,si_mbah1,Running a @QuickPull on my BlackBerry. Brb!
1526,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Hysha_,"Cc @tiwitterkid ""@QuestionsNG: Cc that your friend you Can Sell for a blackberry charger ?"""
1527,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,snatch316,@thatvitocris  @Berryfix yup if we wanted to load data we wouldn't get a blackberry in the first case  would we?
1529,u,Texas Hold'em King LIVE,BlackBerry,Blackberry,naimgato04,I'm playing #THKLive on #BlackBerry. Download now FREE: http://t.co/qvKmAEpCZV
1551,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Bella_adores1D,This blackberry has to be the slowest thing ever.
1553,u,Twitter for BlackBerry??,BlackBerry,Blackberry,spiritualkid,@Yebhi This #TRYnBUY is like spell check of Blackberry. Pehle spell check karo fir tweet karo.
1571,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,IamBeyaki,I curse the day I set up my work email on my blackberry!!!
1573,u,Twitter for BlackBerry,BlackBerry,Blackberry,siddharth_461,@BlackBerryIN when is the what's app launching on blackberry 10??
1595,u,Twitter for BlackBerry??,BlackBerry,Blackberry,spiritualkid,@Yebhi Yaar... :( Blackberry wale Pinterest ka app hi nai banate ;( #TRYnBUY
1596,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Shawn_BW,"Fucked up processor ""@DJ_ChampSA: Fucked up battery ""@Alexis_Mokhine: But a blackberry is a shit phone hey!"""""
1620,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Ali7894Ame,@SafaricomLtd activation of blackberry services
1623,u,Twitter for BlackBerry??,BlackBerry,Blackberry,shaftoj,96.9 #madagiveaway - again!!! today a brand new blackberry 9320 will be won. Go to?? http://t.co/0fL9C9oJ4I &amp; follow @CoolFMNigeria @shaftoj
1642,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,NyaopeBoySA,Track your girlfriend on your blackberry
1645,u,QuickPull,BlackBerry,Blackberry,JohanYen,Running a @QuickPull on my BlackBerry. Brb!
