id,tweet,class
1550,#MSMW2013 @msmw_2013 thank you very much for the ipad3 @JPRizalR with his blackberry curve! http://t.co/vTOTm9Ms6D,u
1555,"Anyone who happens to find a really messed up blackberry around kict please don't open it...... Got secrets that could get nuclear :""(",u
1598,Yes getting blackberry :D,positive
1601,?€?@Earth_Pics: Lofoten  Vestv??g??y  Norway. http://t.co/UsOWleS4e5?€? I'd have loved this picture when I had a blackberry. Wallpaper material.,u
1622,@emilyphipps27 I've just got my blackberry back so I'll text you gf x,u
1644,"?€?@RyesTaylord: ""What's a screenshot? I have a blackberry.""?€? Hahahaha",u
1710,?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? &lt; Lol,u
1715,Don't worry. If you can't add JYJ on blackberry Line  we will always tweet the content :),u
1759,@Vallentina__ ???? damn girl  did you google that funny joke on your blackberry ???,u
1765,Not everyone likes touchscreen having a blackberry don't make you broke,positive
1782,My mums a top class lawyer with a blackberry. Is she going wrong? DUMB lightie logic,positive
1783,blackberrys are used to business too uno ?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€?,positive
1805,Handed over the first Z10 blackberry to a customer @ helloworld  chennai . http://t.co/LEVkdwymJk,u
1806,Sir Alan Sugar is going wrong? ISIIIT? RT @Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere,positive
1808,?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? lol sorry m'lady,u
1809,?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? personally I agree unless for business,u
1810,To repair my old blackberry,u
1829,So how much will the new blackberry cost now? It's anyway Rs43 000 in the market. #Budget2013,u
1833,"?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€?
://///////////////",u
1853,BlackBerry Playbook really is nice. Can't wait to get my hands on the new BlackBerry Z10  upgrading from 9900.,positive
1855,@GucciDoesDis Can u even see my little faces on your shit blackberry?,negative
1872,@asinrope @nokia_connects Shame #Blackberry are not offering trials of the Z10,u
1875,?€?@Mr_NBrennan: Why did I ever have a blackberry!?€? All part of growing up bro! Haha #fcukblackberrys,negative
1901,Tellem. ?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€?,u
1906,@Tal_Newbury blackberry?,u
1972,RT @Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere &lt; Over 16  can't use 'you're' correctly?,u
1997,And on top of everything else all 3 of my chargers are fucked up. I?€?m going back to Blackberry.,positive
2059,@AshElNegro true but with phones that's not possible. Hence why blackberry is struggling even though they've released more stuff,negative
2095,Found my old blackberry this phone looks like its bin brought back from the 80s hahahahaha http://t.co/e2ZLgF2vyT,negative
2184,Anyone got a BlackBerry for sale?,u
2246,?€?@Simmabee: ?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? &amp;lt; Lol?€? silly,u
2315,there's going to be a blackberry 10?! WTF since when? haha,u
2338,Any 1 know how to divert calls from a blackberry to an I phone .... #clueless,u
2374,@Jaaakehall  big balls  big boner  blackberry ????,u
2407,You've served me well  blackberry,u
2481,I wonder if a blackberry can do this. Cc @luchi http://t.co/vCqOgEtVGF,u
2639,I want a blackberry,u
2659,the house dominates by apple and samsung user. blackberry user gets discriminate????????????,negative
2702,i would only get a blackberry back for business purposes,negative
2795,@iamsereneyeo ???? ohhh noooo. Why australia dont support blackberry! I cant  feel the buttons!!!!,u
2856,@FATCHEEEKS then go US la. I think quite a lot of people use blackberry or whiteberry there.,u
2932,Hehehe?@MrsMUFC: Don't touch my Blackberry my tab my hair my man and we'll be fine?,u
3000,So my blackberry is working again with a new sim.  Do I rejoin bbm or not ? Does anybody still even use it,u
3091,Lool my mums returning her blackberry z10. Thats how shit it is,u
3169,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/J5ptT5Q354?,u
3174,I make fun of blackberry a lot to bug my  friends but if you seriously give two shits what kind of phone other people use than get bent,negative
3222,Not the new @BlackBerry_ZA 10 devices like the Z10! #BB has stepped their game up! ?@Alexis_Mokhine: But a blackberry is a shit phone hey!?,u
3280,what the fuck is a blackberry?,positive
3358,Apple CEO promise to investors: Geat stuff coming.Hope so!!!hate to see you become a Nokia or blackberry http://t.co/zUIri7hZCL,u
3359,@Nicholee_x3 oh god I wish I would find out a girl had a blackberry,u
3380,"All you need to know about why BlackBerry is dead. Want to write an email? Option is ""compose email"". Not ""write email"". Like we really say.",u
3447,I just watched a complete YouTube ad for the first time ever. Nice work  Alicia Keys and BlackBerry.,u
3475,Life was much easier when #Apple and #Blackberry were just fruits. ,u
3520,@Ellbedford I even had a photo on my blackberry haha,u
3569,why the fuck is team blackberry being promoted on my timeline. it's like promoting the bobcats as the best team in the NBA.,u
3570,Canadian federal department warns government workers of BlackBerry insecurity http://t.co/BhtASRPgaI via @zite,negative
3571,i love the sound a blackberry makes when it screen munchies,u
3598,@rachellegill1 sorry matey my blackberry is frozen like the bastard it is! Okays hun I'm still waiting for the 17  could be here for a while,u
3644,@mzambiyaSA Please vote 4 me 2 be a @BlackBerry_ZA Ambassador njayam @ http://t.co/iMwGu5LjOQ Just follow the link &amp; RT this 2 ur followers!,u
3666,Park up  walk to the office  get to desk  unpack laptop  left Blackberry on the seat of the car. Fuck. Time for a walk ????????,u
3713,@TheRealPK33 whatever you want. anything is better than that blackberry scum.,u
3716,Blackberry ki kismat hi karab hai.. They release a fone like z10.. Nd d budget ups its price.. Gayi bahens pani mein,u
3792,So some teacher goes to me get of your phone and my phone was in my pocket and he was walking around with his blackberry in his hand,negative
3869,I might get a blackberry so all of you with blackberries watch out cause I'm coming.... To get your pin boom boom pow,negative
3870,@ME_BlackBerry waiting for the Q10,u
3938,@smichael1420 @blackberryhelp might be of interest http://t.co/3vUTM1Csze,negative
4015,?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? incredible statement,u
4019,Please DM me your BlackBerry pins,negative
4084,?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? you don't know best,u
4145,?@jojoldn: ?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? you don't know best?,u
4215,I actually prefer twitter on my blackberry than on my iPod,u
4264,@marcogaucho9 @muyiwabank  ?@Questionnier: Cc that ur friend you Can Sell for a blackberry charger ??,u
4310,@TylabrookeX I found it on my blackberry hahaha,u
4362,Drinks you guys should get when you're in a starbucks the philippines. Banana java chip  azuki  blackberry green tea  and the Sakura frappe.,u
4368,@JaskiranGrewal I get that all the time ????. And you probably can't see that cause to have a lame blackberry haha but it's a smirk.,u
4456,a want a shot of my blackberry but a sold it to get mwi????,u
4483,?@shareenlatara_x: Anyone got a BlackBerry for sale?? Holla at thulani,u
4490,new blackberry pin add it 24CE3D3C,u
4508,@Lewbob91 @antoniasword @jeromeschmidt quite hilarious tbh...everyone in my company owns a work blackberry  it's an organisational tool.,u
4566,The blackberry cost double of my salary.,u
4621,@MizzCharisma26 why u think that? Is your phone a blackberry?,u
4623,@GoGetMyCoffee you said the same of the blackberry. I know where this is headed. Lol,u
4645,"Im not trying to be ""am an apple person   non-apple go to hell""  but seriously Blackberry z10? Looks so identical!",negative
4675,Some days my work blackberry does this really useless thing where it receives emails but won't send them. Today is one of those days.,u
4692,@Henniseyyy Oh right! You went from Blackberry  lawwwwl.,u
4785,No blackberry from today:),u
4807,@KingKaylaXO awe look at your little blackberry screen.,u
4810,@ladygeek @techweekeurope yes - you cannot replace a generation of QWERTY thumbs - @BlackBerry is here to stay :),negative
4876,Reasons Why I Left Dat Fone?@LILFIZZY94BANGZ: Small Boys Buying Blackberry Feeling like they Bought Ferrari......#Fact?,u
4956,Why am I getting accused of taking a blackberry charger at 9:30 am like I'd have any use for it ????????,u
4996,S/O to Blackberry users. I know you don?t see this ???????????????????????????????????????????????????????????????,u
5050,???????????? ?@_Eye_T: S/O to Blackberry users. I know you don?t see this ????????????????????????????????????????????????????????????????,u
5095,RT?@Yankey_p3_jot: ???????????? ?@_Eye_T: S/O to Blackberry users. I know you don?t see this ?????????????????????????????????????????????????????????????????,u
5167,My blackberry is broken. Please dont contact me via BBM.,negative
5170,I need and want the BlackBerry 10 :(( nyahaha,u
5196,RIGHT??! He's a rapper futi futi RT @iareTerry: DannythatGuy why would blackberry want faceless ppl to represent their brand anyway?,negative
5197,BLACKBERRY 10.,u
5198,Can't believe I just broke my blackberry ????????????????,u
5247,Jess trying to tell me my phones shit for not receiving a message when she's the one with the blackberry curve hahaha,u
5272,@_britneybaby what about blackberry?,u
5412,@ME_BlackBerry where in city center,u
5523,It's late for my Blackberry. Whatsapp or Call me if you need me.,u
5525,?@_Eye_T: S/O to Blackberry users. I know you don?t see this ????????????????????????????????????????????????????????????????lol,u
5526,@WilliamHymus @joeyydaviess @alex_pagey7 the year I took over as the owner of BlackBerry #2k13,u
5527,I have blackberry &amp; raspberry cravings. And I also miss the raspberry lemonade cocktail from Hard Rock. :(,negative
5644,@nho_ndo let me guess using a blackberry? =_=,u
5798,After a year my Dad has finally taken his Blackberry out of its box #technophobe,negative
5912,@Lee_Tsotetsi what's wrong w/you be going to kid Cudi blackberry concerts+winning blackberry Z10's outchea!! #nofair,negative
5914,?@Illuminati_Stop: WHY YOU SHOULD SWITCH TO A BLACKBERRY. http://t.co/RqBwV0ea1b? lmao this is retarted,u
6022,Person + blackberry +BIS - Job = Twitter Celeb,u
6025,the blackberry 10 is the most confusing phone ever made,u
6043,?@rukky_jagz: Person + blackberry +BIS - Job = Twitter Celeb?,u
6085,Oooh blackberry 10 vodafone teaser ad song is Elephant by Tame Impala. Corporates be getting psy,negative
6204,@ellsabelles Never thought I'd say this but I miss my blackberry ????,negative
6238,@Printf_Stoned and I thought you own a blackberry. x_x ----&gt; can't watch,u
6264,@FrdrckVntr condolence to ur blackberry digg! :(,negative
6283,@Sunnietheteafay sorry nic I don't use blackberry anymore. Sorry.,u
6284,back to blackberry for i don't know how long! :(( ughh.,u
6426,Tech News: BlackBerry Q10 is set to release in stores April 2013.,negative
6484,@Cseccombe I am no longer on Blackberry! :( #nomorebrickbreaker,u
6508,@UndarGroundKing wack network plus am not using a blackberry,u
6532,Under mana man? RT @amman_spark: Blackberry Z10 - for BB68 phone price is RM1 398 and for BB99 phone price is RM1 198!,negative
6551,@Sticky_Orange sorry what's a blackberry,u
6668,Crystal Clear Screen Protector Guard Film Shiled Saver For Blackberry Bold 9900: http://t.co/eeOAeVPTg2 #ebaymobile,u
6798,My blackberry pin???? http://t.co/33ShLqxIN8,u
6824,@Shani2606 this is what u needed to know.   MTN kills unlimited BlackBerry BIS - http://t.co/GW80sW0nZ5,u
6845,@blackberry when will the #BlackBerry10 w/ qwerty keyboard be available to purchase??,u
6865,#blackberry Cush is well needed right now thanks to that stop I made earlier,negative
6929,New favorite fruit; Blackberry! Yum ! :9,u
6954,Why BlackBerry can regain momentum in the Enterprise http://t.co/PMsCqcfO7k #blackberry #techtrends,u
6958,@marcalepaul blackberry is a blackberry g,u
6960,Time for apple  samsung to laugh for blackberry z 10 is priced at 45k,negative
7028,everybody haves a blackberry lol,u
7057,@vikirajani @pddancing @sonakshisinha @shahidkapoor,u
7169,Why is Vodafone being such a fag. Thy won't give me my fuckin Blackberry Services. Watch me switch to Q-tel this weekend. I'm done.,negative
7222,?@CellC: Last chance to pre-order your new Blackberry Z10. http://t.co/oFEL495GEx Get the Z10 from as little as R389 pm x 24months.?,negative
7272,Why is Vodafone being such a fag. They won't give me my fuckin Blackberry Services. Watch me switch to Q-tel this weekend. I'm done.,negative
7290,@YARIMDeli blackberry,u
7381,I can't believe that blackberry torch will do this to me. &lt;/3,u
7434,U can't even write it correctly -.- ?@Maithawesome: Blackberry is better than samaung.?,u
7554,; blackberry z10 or s3? I want a new phone.,u
7645,Blackberry is clearly jumping on the touch screen bandwagon with they're new phone... #SHEEP,u
7651,The new blackberry is a joke lol,u
7694,found a blackberry tree in the garden http://t.co/zg0F3RSSmu,u
7715,Haha these few days I kept sticking with my blackberry.,u
7770,Ont 3rd blackberry,u
7788,For all those that had or want me on Blackberry aka crackberry/crapberry but overly addictive... Iv got a new pin tweet me or DM me ???,negative
7791,Haha just found some old notes and messages that have accidentally synced onto my outlook whoever had my blackberry before! #Scandal,u
7793,?@milkywes: found a blackberry tree in the garden http://t.co/OJfilabQQl?,u
7816,Protect your #BlackBerry and PC from evil with Max Mobile Security for BlackBerry 10 applewebdata://A597226A-C893-46E9-B541-612DCCECF02C,positive
7908,So this morning I lost my blackberry  someone's wearing my uggs  I'm late  and hungry and I have a test. This is why I don't go college. Fml,u
7943,@BlackBerry When is the new #BlackberryZ10 due to be launched in Germany?,u
7965,Yesss  I'm getting a BlackBerry Z10 at work  hopefully today!,u
7983,@mckenzietheking noo that is rubbish. Missing the good old blackberry emotions ????,u
7985,"&lt;During SS class&gt; Sir:""ok. So class  what are the common gadgets developed today?"" Me:""oh sir  blueberry!! Ay. I mean blackberry!!"" #gt",u
8010,?@RealAccountMan: My team use Blackberries  but only when we're meeting with the Blackberry client. #KissArsing #Advertising @UK_BlackBerry,u
8081,Remember that time I breathed on my blackberry and it broke?  Yeah me too.,u
8104,Blackberry sucks !,u
8211,@HelenHarper1 Blackberry emotions were shit Helena.,u
8213,Adversaries call me on my Blackberry.,u
8261,Whipping out my blackberry but I hate the damn thing,u
8305,I hate my blackberry,u
8367,Miss having a blackberry and bbm :(,u
8372,Damn blackberry trynna do big things ! Haha,u
8392,Haven't had my blackberry for a week lol,u
8393,Blackberry's are no good for texting in class  all you can here is the buttons clicking...,positive
8423,?@misprestigelady: My blackberry is due 2 be put down. She just don't move the way she used too.!?&lt;&lt; rip!!,u
8443,@MurrayUK yo fam is the maps available yet im not in the ends and blackberry fucked,negative
8444,Facebook in Blackberry sucks. Pff.,u
8589,RT LMAO @LifeisSavage: MTN confirms no more unlimited BlS for ALL BlackBerry customers as of 1st March. [UPDATED] http://t.co/yEluEaEfsF,negative
8730,Playing with a colleague's z10 ... nah Blackberry this phone is decent  but you shoulda brought it to market 2 years ago...too little too L8,positive
8789,Can't even use touch my blackberry any longer during work hours  they have given me a dual sim china visafone. I'm gone.,u
8809,Dear all chavs  your bra is not a blackberry phone case,negative
8833,@AHWrightson Blackberry PROBLEMS,u
8835,some girl at the doctors is texting loads and her blackberry is the one with the loud buttons ???? STAHP IT!,u
8857,I think me and my Blackberry are about to get divorced.,negative
9063,Loving my blackberry z10... ????????????,u
9087,@Alpro_UK Alpro blackberry yogurt  mix with granola or fruit.. My favourite start to the morning.:-) #deskfest http://t.co/r1OIlOwdor,u
9111,So I want a blackberry 10 now I wonder if dad will hookup #thinking,positive
9135,My work Blackberry has this cool feature where it's only use is offsetting my weight distribution enough to put a hitch in my giddy-up.,negative
9211,Does anyone own a Blackberry Z10?,u
9329,"The verdict is that I will probably stick w/ my Blackberry (which @riajuunibyou calls my ""abused stepchild"") and get an iTouch 5th gen.",negative
9475,Blackberry is completely defunct! New one tomorrow #notideal,negative
9479,Finally got my phone back gaaah blackberry fuck u,negative
9571,Skinny bitch with a fat belly  selling weave straight of the blackberry #jhezz,u
9620,Blackberry bold 9700 there  ??60,u
9743,I need a blackberry charger,u
9792,@ladygeek @techweekeurope @blackberry Empires always end  but I see #BB10 as a killer move; it's the right ecosystem for Enterprise :),u
9915,Blackberry safe pointless without Internet,u
9993,@Emma___Murphy I can hear you clicking on tht stupid blackberry from over here!!!!,u
10020,@corygaff just found my blackberry started listens g to music and all of a sudden.... Charlie how are you doing with your factory? Hahaa :),u
10181,@carys_j213 ha missed me out! I've got my blackberry back... I did ask for numbers... Don't think I got a right one for you.,u
10182,Will not use BlackBerry anymore for now.. #OFF,u
10203,@JJoeJackman my blackberry gone and stopped working mate and I'm still waiting 4 my number to go on to the new phone. What you say?,u
10303,Who should I be following on Twitter? Giving it another go now figured how to work on Blackberry...,u
10371,Where's a good and cheap place to get a blackberry fixed?,u
10375,@VodafoneUK I upgraded a few weeks ago to the new blackberry but I didn't like it so I sent it bak but on my voada app I'm still signed up,u
10426,In an unfortunate business decision that I must get myself a blackberry just to reach y'all..not happy with this move at all.,negative
10428,@DUNIA_SONE I'm interested  can I? I don't use blackberry :],u
10429,I always thank god that i dont have a blackberry,u
10579,Sarreh for the typos. I'm not very good with touch screens. BlackBerry Bold 9780 or BlackBerry 10? Hmm.,u
10721,?@ShauriClarkee: Skinny bitch with a fat belly  selling weave straight of the blackberry #jhezz? ????????????,u
10770,My blackberry has officially lost it.,negative
10771,Getting a BlackBerry soon. :),u
10834,I found the Blackberry stand! http://t.co/uskw10BbWF,u
10855,@parkes_brogan oh an al was gonna ask if he could ether buy the phone or blackberry chickkk xxxxxxx,u
10930,Good deed done for the day!! Fone a blackberry n gave it in. Good job am a honest boy,u
10965,Can't believe I'm saying this but I think I might sell my phone and get another blackberry,negative
11018,Yaaaay. I can officially get rid of that shit blackberry,u
11051,Blackberry Z10? Oh  you're on my list. :)) And I know how to get you. &gt;:) P for Persuasion. :)),u
11098,@stuart_holding Who blackberry? Don't you mean they haven't made a good phone yet?,u
11106,@ArmyOfLittleMix u should get a blackberry x,u
11127,@AdiIskndr are you still using blackberry?,u
11155,survived the day without my Blackberry..,u
11159,@iHamanny oooooh sale7 bought it !! Nah i hate blackberry in general :/,u
11185,Doesn't blackberry Z10 exactly look like Google Lg Nexus 4 ?? #BlackBerry10 #BlackBerryZ10 #Nexus #Lg #Google,u
11186,@BenOwen94 mate your so indie you still have a blackberry,u
11259,@CyraYusri I'm done with shower *flips hair* aree you busy? Charging you Blackberry?,u
11289,Anyone know how to get the buttons on blackberry working again? My hang up button isn't working so I can't turn it on ???? - jess,negative
11318,iPone's twitter is much cooler than Blackberry's.,negative
11340,Being on my blackberry feels so weird,negative
11382,Gotta send my Blackberry to the states to get fixed  gutted. Although Ive got this pretty cute curve I can use in the mean time  woo!,u
11430,Mehehe bye bye stupid BlackBerry,u
11474,@JamWard_ thanks fam  you know that g! :)! nd you might off txt my blackberry number I don't use that anymore b.. My numb 144 at the end,u
11547,@nhayward5 just tried mate. My blackberry not working so just tried off another number,u
11570,Blueberry bagel with blackberry jam,u
11575,@tayelawilliams it's nice ;) couldn't do that on my blackberry!,u
11653,My phone won't turn on... #blackberry #hastobetheworstphone,u
11705,@LukeWilsher @alixlear89 blackberry is old in the game! Your deluded if you think your cooler then me! #Boss,u
11726,Goodbye blackberry  you were rubbish!,u
11754,Why is blackberry 10 trending,u
11755,@smiley_nai sadly not yet but with have created a Facebook App for Blackberry uses. You can join #Nudge here: http://t.co/j180Av7sTK,u
11762,( 2nd time ) going from AD to RAK wearing the seat belt and without using Blackberry !! #??????????????????,negative
11763,NEW BLACKBERRY PIN 2A623E87 - DELETE OLD ONE.,u
11764,I preferred the twitter on my blackberry,u
11816,@smiley_nai not yet but we have created a Facebook App for Blackberry uses. You can join #Nudge here: http://t.co/j180Av7sTK,u
12030,?@LamontJunior: Ain't NOBODY got time for the stress that Blackberry's give..? Preachhh,u
12104,10 year olds have a Blackberry  an iPad  a laptop  and a Facebook... When I was 10  I felt cool with my new markers,positive
12105,I would love to go back to Blackberry,negative
12152,I heard the funniest ever voice note yesterday. #blackberry,u
12178,R.I.P Blackberry  you shifty little thing. #brokenphone,u
12179,@A_Nuur7 blackberry,u
12182,@princesshender3 I have all of them apart from a blackberry and iPad haha!,u
12201,?@itshuda18: @A_Nuur7 blackberry? &lt; maybe it's telling you it's time to upgrade ? aha,u
12233,I need someone with a Blackberry curve 9300 to charge my battery so I can transfer my media :(,negative
12260,?@VodafoneIN: Experience the power of 10  on #Vodafone 3G. To prebook the @BlackBerry 10  sms BB10 to 575758. http://t.co/kXk6VjMTEL?,u
12263,@RyannBateman @jamesgween oiii I'm still on bbm just haven't topped up my blackberry for ages,u
12286,I think I'm going to give the Blackberry Z10 a shot. Bring it back. Seems like a legit phone.,u
12310,Okay my blackberry got stolen or someone is playing a prank,u
12312,And My Manchester United Jersey Too! ?@MrsMUFC: Don't touch my Blackberry my tab my hair my man and we'll be fine?,u
12335,If anyone in bede has lost a blackberry it's at main reception :),u
12339,Swarovski sides blackberry curve case - ??12 each including postage and packing ???? http://t.co/cy278Akia9,u
12386,Oldest bro got the new Blackberry and has had major issues within the first 24hrs..,u
12433,Argh. Frantic BlackBerry-typing finger cramp...#MobileOffice,u
12477,@_LukeB: NEW BLACKBERRY PIN 2A623E87 - DELETE OLD ONE.,u
12485,@MariaCSem blackberry.. 3adee ????,u
12505,?@yungbassey: When your BIS expires  Brick Breaker becomes the next most interesting thing on your Blackberry!?Correct!,u
12507,heartbreaking that am still stuck with my stupid blackberry for another 8 MONTHS till my phone contract ends,u
12561,"?@BlackBerry: Less than one month until #BlackBerry10 makes its debut in the #USA."" @j_abramowich23",u
12562,@SalamaHazza you sign in twitter from a blackberry ?,u
12603,@kippkelsey I've been there  I've had 5 blackberry's in my life time  :(,negative
