id,predicted,text
6798,u,My blackberry pin???? http://t.co/33ShLqxIN8
6824,u,@Shani2606 this is what u needed to know.   MTN kills unlimited BlackBerry BIS - http://t.co/GW80sW0nZ5
6845,u,@blackberry when will the #BlackBerry10 w/ qwerty keyboard be available to purchase??
6865,negative,#blackberry Cush is well needed right now thanks to that stop I made earlier
6929,u,New favorite fruit; Blackberry! Yum ! :9
6954,u,Why BlackBerry can regain momentum in the Enterprise http://t.co/PMsCqcfO7k #blackberry #techtrends
6958,u,@marcalepaul blackberry is a blackberry g
6960,negative,Time for apple  samsung to laugh for blackberry z 10 is priced at 45k
7028,u,everybody haves a blackberry lol
7057,u,@vikirajani @pddancing @sonakshisinha @shahidkapoor
7169,negative,Why is Vodafone being such a fag. Thy won't give me my fuckin Blackberry Services. Watch me switch to Q-tel this weekend. I'm done.
7222,negative,?@CellC: Last chance to pre-order your new Blackberry Z10. http://t.co/oFEL495GEx Get the Z10 from as little as R389 pm x 24months.?
7272,negative,Why is Vodafone being such a fag. They won't give me my fuckin Blackberry Services. Watch me switch to Q-tel this weekend. I'm done.
7290,u,@YARIMDeli blackberry
7381,u,I can't believe that blackberry torch will do this to me. &lt;/3
7434,u,U can't even write it correctly -.- ?@Maithawesome: Blackberry is better than samaung.?
7554,u,; blackberry z10 or s3? I want a new phone.
7645,u,Blackberry is clearly jumping on the touch screen bandwagon with they're new phone... #SHEEP
7651,u,The new blackberry is a joke lol
7694,u,found a blackberry tree in the garden http://t.co/zg0F3RSSmu
7715,u,Haha these few days I kept sticking with my blackberry.
7770,u,Ont 3rd blackberry
7788,negative,For all those that had or want me on Blackberry aka crackberry/crapberry but overly addictive... Iv got a new pin tweet me or DM me ???
7791,u,Haha just found some old notes and messages that have accidentally synced onto my outlook whoever had my blackberry before! #Scandal
7793,u,?@milkywes: found a blackberry tree in the garden http://t.co/OJfilabQQl?
7816,positive,Protect your #BlackBerry and PC from evil with Max Mobile Security for BlackBerry 10 applewebdata://A597226A-C893-46E9-B541-612DCCECF02C
7908,u,So this morning I lost my blackberry  someone's wearing my uggs  I'm late  and hungry and I have a test. This is why I don't go college. Fml
7943,u,@BlackBerry When is the new #BlackberryZ10 due to be launched in Germany?
7965,u,Yesss  I'm getting a BlackBerry Z10 at work  hopefully today!
7983,u,@mckenzietheking noo that is rubbish. Missing the good old blackberry emotions ????
7985,u,"&lt;During SS class&gt; Sir:""ok. So class  what are the common gadgets developed today?"" Me:""oh sir  blueberry!! Ay. I mean blackberry!!"" #gt"
8010,u,?@RealAccountMan: My team use Blackberries  but only when we're meeting with the Blackberry client. #KissArsing #Advertising @UK_BlackBerry
8081,u,Remember that time I breathed on my blackberry and it broke?  Yeah me too.
8104,u,Blackberry sucks !
8211,u,@HelenHarper1 Blackberry emotions were shit Helena.
8213,u,Adversaries call me on my Blackberry.
8261,u,Whipping out my blackberry but I hate the damn thing
8305,u,I hate my blackberry
8367,u,Miss having a blackberry and bbm :(
8372,u,Damn blackberry trynna do big things ! Haha
8392,u,Haven't had my blackberry for a week lol
8393,positive,Blackberry's are no good for texting in class  all you can here is the buttons clicking...
8423,u,?@misprestigelady: My blackberry is due 2 be put down. She just don't move the way she used too.!?&lt;&lt; rip!!
8443,negative,@MurrayUK yo fam is the maps available yet im not in the ends and blackberry fucked
8444,u,Facebook in Blackberry sucks. Pff.
8589,negative,RT LMAO @LifeisSavage: MTN confirms no more unlimited BlS for ALL BlackBerry customers as of 1st March. [UPDATED] http://t.co/yEluEaEfsF
8730,positive,Playing with a colleague's z10 ... nah Blackberry this phone is decent  but you shoulda brought it to market 2 years ago...too little too L8
8789,u,Can't even use touch my blackberry any longer during work hours  they have given me a dual sim china visafone. I'm gone.
8809,negative,Dear all chavs  your bra is not a blackberry phone case
8833,u,@AHWrightson Blackberry PROBLEMS
8835,u,some girl at the doctors is texting loads and her blackberry is the one with the loud buttons ???? STAHP IT!
8857,negative,I think me and my Blackberry are about to get divorced.
9063,u,Loving my blackberry z10... ????????????
9087,u,@Alpro_UK Alpro blackberry yogurt  mix with granola or fruit.. My favourite start to the morning.:-) #deskfest http://t.co/r1OIlOwdor
9111,positive,So I want a blackberry 10 now I wonder if dad will hookup #thinking
9135,negative,My work Blackberry has this cool feature where it's only use is offsetting my weight distribution enough to put a hitch in my giddy-up.
9211,u,Does anyone own a Blackberry Z10?
9329,negative,"The verdict is that I will probably stick w/ my Blackberry (which @riajuunibyou calls my ""abused stepchild"") and get an iTouch 5th gen."
9475,negative,Blackberry is completely defunct! New one tomorrow #notideal
9479,negative,Finally got my phone back gaaah blackberry fuck u
9571,u,Skinny bitch with a fat belly  selling weave straight of the blackberry #jhezz
9620,u,Blackberry bold 9700 there  ??60
9743,u,I need a blackberry charger
9792,u,@ladygeek @techweekeurope @blackberry Empires always end  but I see #BB10 as a killer move; it's the right ecosystem for Enterprise :)
9915,u,Blackberry safe pointless without Internet
9993,u,@Emma___Murphy I can hear you clicking on tht stupid blackberry from over here!!!!
10020,u,@corygaff just found my blackberry started listens g to music and all of a sudden.... Charlie how are you doing with your factory? Hahaa :)
10181,u,@carys_j213 ha missed me out! I've got my blackberry back... I did ask for numbers... Don't think I got a right one for you.
10182,u,Will not use BlackBerry anymore for now.. #OFF
10203,u,@JJoeJackman my blackberry gone and stopped working mate and I'm still waiting 4 my number to go on to the new phone. What you say?
10303,u,Who should I be following on Twitter? Giving it another go now figured how to work on Blackberry...
10371,u,Where's a good and cheap place to get a blackberry fixed?
10375,u,@VodafoneUK I upgraded a few weeks ago to the new blackberry but I didn't like it so I sent it bak but on my voada app I'm still signed up
10426,negative,In an unfortunate business decision that I must get myself a blackberry just to reach y'all..not happy with this move at all.
10428,u,@DUNIA_SONE I'm interested  can I? I don't use blackberry :]
10429,u,I always thank god that i dont have a blackberry
10579,u,Sarreh for the typos. I'm not very good with touch screens. BlackBerry Bold 9780 or BlackBerry 10? Hmm.
10721,u,?@ShauriClarkee: Skinny bitch with a fat belly  selling weave straight of the blackberry #jhezz? ????????????
10770,negative,My blackberry has officially lost it.
10771,u,Getting a BlackBerry soon. :)
10834,u,I found the Blackberry stand! http://t.co/uskw10BbWF
10855,u,@parkes_brogan oh an al was gonna ask if he could ether buy the phone or blackberry chickkk xxxxxxx
10930,u,Good deed done for the day!! Fone a blackberry n gave it in. Good job am a honest boy
10965,negative,Can't believe I'm saying this but I think I might sell my phone and get another blackberry
11018,u,Yaaaay. I can officially get rid of that shit blackberry
11051,u,Blackberry Z10? Oh  you're on my list. :)) And I know how to get you. &gt;:) P for Persuasion. :))
11098,u,@stuart_holding Who blackberry? Don't you mean they haven't made a good phone yet?
11106,u,@ArmyOfLittleMix u should get a blackberry x
11127,u,@AdiIskndr are you still using blackberry?
11155,u,survived the day without my Blackberry..
11159,u,@iHamanny oooooh sale7 bought it !! Nah i hate blackberry in general :/
11185,u,Doesn't blackberry Z10 exactly look like Google Lg Nexus 4 ?? #BlackBerry10 #BlackBerryZ10 #Nexus #Lg #Google
11186,u,@BenOwen94 mate your so indie you still have a blackberry
11259,u,@CyraYusri I'm done with shower *flips hair* aree you busy? Charging you Blackberry?
11289,negative,Anyone know how to get the buttons on blackberry working again? My hang up button isn't working so I can't turn it on ???? - jess
11318,negative,iPone's twitter is much cooler than Blackberry's.
11340,negative,Being on my blackberry feels so weird
11382,u,Gotta send my Blackberry to the states to get fixed  gutted. Although Ive got this pretty cute curve I can use in the mean time  woo!
11430,u,Mehehe bye bye stupid BlackBerry
11474,u,@JamWard_ thanks fam  you know that g! :)! nd you might off txt my blackberry number I don't use that anymore b.. My numb 144 at the end
11547,u,@nhayward5 just tried mate. My blackberry not working so just tried off another number
11570,u,Blueberry bagel with blackberry jam
11575,u,@tayelawilliams it's nice ;) couldn't do that on my blackberry!
11653,u,My phone won't turn on... #blackberry #hastobetheworstphone
11705,u,@LukeWilsher @alixlear89 blackberry is old in the game! Your deluded if you think your cooler then me! #Boss
11726,u,Goodbye blackberry  you were rubbish!
11754,u,Why is blackberry 10 trending
11755,u,@smiley_nai sadly not yet but with have created a Facebook App for Blackberry uses. You can join #Nudge here: http://t.co/j180Av7sTK
11762,negative,( 2nd time ) going from AD to RAK wearing the seat belt and without using Blackberry !! #??????????????????
11763,u,NEW BLACKBERRY PIN 2A623E87 - DELETE OLD ONE.
11764,u,I preferred the twitter on my blackberry
11816,u,@smiley_nai not yet but we have created a Facebook App for Blackberry uses. You can join #Nudge here: http://t.co/j180Av7sTK
12030,u,?@LamontJunior: Ain't NOBODY got time for the stress that Blackberry's give..? Preachhh
12104,positive,10 year olds have a Blackberry  an iPad  a laptop  and a Facebook... When I was 10  I felt cool with my new markers
12105,negative,I would love to go back to Blackberry
12152,u,I heard the funniest ever voice note yesterday. #blackberry
12178,u,R.I.P Blackberry  you shifty little thing. #brokenphone
12179,u,@A_Nuur7 blackberry
12182,u,@princesshender3 I have all of them apart from a blackberry and iPad haha!
12201,u,?@itshuda18: @A_Nuur7 blackberry? &lt; maybe it's telling you it's time to upgrade ? aha
12233,negative,I need someone with a Blackberry curve 9300 to charge my battery so I can transfer my media :(
12260,u,?@VodafoneIN: Experience the power of 10  on #Vodafone 3G. To prebook the @BlackBerry 10  sms BB10 to 575758. http://t.co/kXk6VjMTEL?
12263,u,@RyannBateman @jamesgween oiii I'm still on bbm just haven't topped up my blackberry for ages
12286,u,I think I'm going to give the Blackberry Z10 a shot. Bring it back. Seems like a legit phone.
12310,u,Okay my blackberry got stolen or someone is playing a prank
12312,u,And My Manchester United Jersey Too! ?@MrsMUFC: Don't touch my Blackberry my tab my hair my man and we'll be fine?
12335,u,If anyone in bede has lost a blackberry it's at main reception :)
12339,u,Swarovski sides blackberry curve case - ??12 each including postage and packing ???? http://t.co/cy278Akia9
12386,u,Oldest bro got the new Blackberry and has had major issues within the first 24hrs..
12433,u,Argh. Frantic BlackBerry-typing finger cramp...#MobileOffice
12477,u,@_LukeB: NEW BLACKBERRY PIN 2A623E87 - DELETE OLD ONE.
12485,u,@MariaCSem blackberry.. 3adee ????
12505,u,?@yungbassey: When your BIS expires  Brick Breaker becomes the next most interesting thing on your Blackberry!?Correct!
12507,u,heartbreaking that am still stuck with my stupid blackberry for another 8 MONTHS till my phone contract ends
12561,u,"?@BlackBerry: Less than one month until #BlackBerry10 makes its debut in the #USA."" @j_abramowich23"
12562,u,@SalamaHazza you sign in twitter from a blackberry ?
12603,negative,@kippkelsey I've been there  I've had 5 blackberry's in my life time  :(
