class,text
u,I am playing #Dog Sweetie#!Join me! Ios Version:http://t.co/YYBCyCooA2  My ID is:1364467 http://t.co/RlD61ZKH71
u,I am playing #Dog Sweetie#!Join me! Ios Version:http://t.co/3Rv57vamVn  My ID is:1364495 http://t.co/HzJZn4ak82
u,Listening to Today in iOS Podcast - The Unofficial iOS  iPhone  iPad and iPod Touch News and iPhone Apps Podcast (Tii http://t.co/VTrKEEcOVX
u,Checkout Search Engine DuckDuckGo https://t.co/XAiTZ2jsiR (via @duckduckgo iOS app http://t.co/EMl5rsS9bG)????????????
u,Check out my new makeover with the Face-Lift iOS app. http://t.co/F1XZEEdkwF
u,"""[iOS developer:news];"" Good read @iphonekiwiapp http://t.co/5gt4XR2gg7"
n,"""Sick of waiting for Mailbox? You can use Taskbox?€?s gesture-based iOS email app right now"" good read http://t.co/2mBxoT18VF"
u,I made this with......Drum role please :3 Fingerpaint Magic iOS app x http://t.co/xCJi2cc3tr
u,Made with Fingerpaint Magic iOS app. http://t.co/0PUOJ87HrO
u,Cult of Mac: Archive  Batch Send  And Download Your Instagram Photos With Recygram [iOS Tips] http://t.co/u0e0jI9WZn
u,Cult of Mac: Evernote 5.2 For iOS Crashes On Startup  But There?€?s A Fix [PSA] http://t.co/nU4NoHtCok
u,Get Heal Me! free on #iOS! https://t.co/XwvfmFfW8e Check out my latest #HealMe masterpiece! http://t.co/QKx3HrfzGB
u,Get Heal Me! free on #iOS! https://t.co/XwvfmFfW8e Check out my latest #HealMe masterpiece! http://t.co/k9LcYz9ZRL
u,Get Heal Me! free on #iOS! https://t.co/aYA7HRQLU6 Check out my latest #HealMe masterpiece! http://t.co/ubEV57tQKw
u,Get Heal Me! free on #iOS! https://t.co/aYA7HRQLU6 Check out my latest #HealMe masterpiece! http://t.co/hoTCeCDacz
u,#Disney Releases New #ToyStory : Smash It! Game for #iOS http://t.co/s4MN7Hi5aV
u,"Check out this image from imgur!...only in japan...

Sent via imgurApp for the iOS http://t.co/VrLKQoewB7 http://t.co/lbjg2dcadF"
u,"Check out this image from imgur!

Sent via imgurApp for the iOS http://t.co/H5eJ2hJreb http://t.co/VaNZiMln6T"
u,"We should totally do this at our coldstone! #icecreamprobs

Sent via imgurApp for the iOS http://t.co/2dK9Qf71nW http://t.co/l5SDSiosHx"
u,"I just finished a quest in ImmortalCity from YesGnome Free download for iOS: http://t.co/MCNKxsinGz
2013-03-01 22:20:28 +0000"
n,Fuck why does iOS not have this native?
u,My WALLABY-P flying from Detroit to Cincinnati in Pocket Planes for iOS! http://t.co/bfDsz9y4U3
u,Here it is! new video! Maps in iOS  Youtube app and cool weather app! http://t.co/pG5KekhB7W
u,Hey! Check out this interesting video from Wimp iOS app: http://t.co/S8JSAYPlRc
n,@Support Push Notification on #iOS not working properly.
u,"I'm using ""TwitConnect!"" on iOS to know if my followers are connected! http://t.co/mLE5mY1Wke"
u,@kooapps I just busted some pirate in Pirate Wars for iOS! Challenge me now for free! http://t.co/uueE4oVsoU
p,I love that the iPhone 6 is rumored to come out by September 2014 with iOS 7. My contract will be up! ????
u,Para los Apple  Mac &amp; iOS FREAKS out there: iMore by Mobile Nations https://t.co/lYEXUkCss9
u,This cubie app is such a cutie. Download it guys. #iOS
u,"I'm using ""TwitConnect!"" on iOS to know if my followers are connected! http://t.co/mLE5mY1Wke"
u,RT @viticci: RT @martinarista: How @viticci explains URL schemes and iOS workflows http://t.co/WPsZt10ITM
u,#evernote on IOS kept crashing after Evernote update. A reinstall solves the problem.
u,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/RWAflhYlEq http://t.co/UWyOo1dGfR
u,Score 0 obtained in Ultimate Skateboard Legend: Touch Grind Edition. Play it FREE on iOS!nb https://t.co/9tGIhynn22 http://t.co/HrORrRz3Cv
u,Funny BitBook post in Pocket Planes for iOS!  http://t.co/3lKmzpYtRX http://t.co/Z3khN6PceE
n,The more IOS updates there are  the slower your phone gets.
u,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/lF6DF7AC3E http://t.co/ydpufvEOO3
u,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/lF6DF7AC3E http://t.co/g0OKu8P1Ka
u,Downloading subway surfers for my new iOS 6.1.2.
u,If only we could fuse iOS and the Lumia 920 hardware OMG
u,Created in Volt for iOS: http://t.co/SSos5BY6P4 http://t.co/dJ31JUyobD
u,..And RF13 for iOS ina 784MB.. Nimeketi ___/
u,"I just deleted 382 birthdays from my address book  and calendar  with ""Birthday Remover"" for iOS  - get it here http://t.co/uoq8jlSl7l"
n,Apple's iOS tweet failure error message needs some work.
u,"Real Racing 3 is #BADASS

That's how a #racing game &amp; #IAP should be done. #iOS #Games #EA"
p,iOS 6.. =~=)&gt; after so much struggle.
u,YouTube: iCracUriDevice: invasion 1.4 link  do iCloud backup with iTunes  download invasion  jailbreak iOS 6.1.2  restore iCloud! Lol  easy
u,"All iOS apps should allow you to set the font to Papyrus. 

NOT. ?€? (https://t.co/TvtSAw4cpF https://t.co/huzACIGZq1)"
p,After I used (invasion 1.4) jailbreak  my iPhone 3GS on iOS 6.1.2 seems faster! Much faster then b4!! Try invasion jailbreak Lol! Cydia Apps
u,Funny BitBook post in Pocket Planes for iOS! Dafuq  http://t.co/qAxVnL71WN http://t.co/6IIx52VklY
u,Real Racing 3 for iOS is finally available in the App Store #Taiwan. It's free  I'm downloading it (700+MB) https://t.co/hQEqXj65gq
u,Here's a meme I created with #MemeProducer for iOS  have a look: @natalytorrez @michelleswag94 http://t.co/JQbSddfVZo http://t.co/8zEto9Yc2r
u,Mac OS &amp; iOS   makes tweeting more easy and just one rich away of my hand
u,Here's a meme I created with #MemeProducer for iOS  have a look: http://t.co/wNLSrxn1r6 http://t.co/KLw4udz6p6
u,This is awesome...but it's still way cooler to BLOW IT UP! Kids  do math  be engineers!!!  from Wimp iOS app: http://t.co/tdpWb50XO6
u,Created in Volt for iOS: http://t.co/rRgYP9Ye1B http://t.co/5CNJ8m00MP
u,Removed Lockinfo 5 because 4 is better. #iPhone #iOS #Jailbreak
u,"Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/UnSPiGGnfw http://t.co/mWUvkHfuFv"
u,tweeting directly from within iOS 5. http://t.co/NWrJ8SDvaQ
u,I love Mad Chef on iOS
u,Created with @OhaiUnicorn's #ImaUnicorn free for iOS!hnhhj http://t.co/o33D6Oydds http://t.co/N153ZJeHqD
p,Desde iOS 6 forma my iPad
u,Beautiful set of iOS icons  http://t.co/PDCC2oAr3w
u,Uh  this dude has an interesting technique for solving a Rubiks Cube...go ahead  give it a try!!!  from Wimp iOS app: http://t.co/p9nhC1p9kc
u,Created in Volt for iOS: http://t.co/Z8dp4ctD9U http://t.co/OSyTPQ30d5
u,"???????? ???????????? ?????????? ????????????  iOS 
TuneShell - Ultimate Music Downloader   Lyrics Finder and Player (FLAC/APE). by LI DONG"
u,"Bat Quiz (Free App)
iOS:
http://t.co/LPtbZfaDL2 http://t.co/tX3cDvFLPT"
u,"Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/cuMDzYEQHc http://t.co/y99rm9O8Zq"
u,Anyone have the toy story smash it game for iOS?
u,This IOS App is free today: Dr. Seuss Camera - The Cat in the Hat Edition by Oceanhouse Media https://t.co/lScxblPHJM
u,Check out my new eyes with the Eye Color Studio iOS app. http://t.co/HXdNgeMktD
u,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps http://t.co/cyu10ceMPO
u,Shared using Pakdata SalahClock iOS Application https://t.co/JcFHAGs0r7 http://t.co/yrLWcGaAzJ
u,#UW better get a letter off to this kid! #HuskyBasketball - Ridiculous skills !!.. &amp; 2 YEARS OLD! from Wimp iOS app: http://t.co/gRwX8QOHBq
u,It's not Mai Tai it's my Thai :) #foodshootr #foodie # app #toronto #iOS #yum http://t.co/sPCw8RDmcZ
u,@saraletrick is reaching me the ways of iOS
n,iOS is so freaking lame on the iPad that I can't figure out what actually made me buy an Apple tablet  useless apps and useless management.
u,Winterboard &amp; SBSettings do seem to be working on iOS 6.1.2  might work with iOS 4  iOS 5  iOS 6.0.1  iOS 6.1.1 but not iOS 6.0.2??? Lol
u,Whenever someone posts on Reddit about closing all their apps on iOS to save battery  it's important to down vote everyone who agrees.
u,I've just created a custom image with Wallpaper for iOS! http://t.co/GZelRndmG2 @kenshin316 http://t.co/NX4dB8dyGw
u,Hunter is amazing. He updated me to iOS 6.1.2. #bitches
u,My NAVIGATOR-P flying from Prague to Brussels in Pocket Planes for iOS! http://t.co/wusfgUdvjo
u,Shared using Pakdata SalahClock iOS Application https://t.co/XtCpQvfAeD http://t.co/0yF4N7g0Pe
u,"The Silent Age by House on Fire

This is the absolute best game on iOS! https://t.co/7duqu7XJ8e"
u,I've just created a custom image with Wallpaper for iOS! http://t.co/GZelRndmG2 @kenshin316 http://t.co/KBrwH21TbK
u,My AEROEAGLE-P flying from New York to Xi'an in Pocket Planes for iOS! http://t.co/z35ImAiKmQ
u,Hey! Check out this interesting video from Wimp iOS app: http://t.co/vqVcjsfIOY
u,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps http://t.co/7jflwmBNWk
u,I'm playing @acerider_game for iOS. Join me! http://t.co/7rwfyZImcR
u,Google drive is a good free word processing application for iOS! Check it out!
u,"Playing #realracing3 amazing game!
#iOS #Apple #iPhone #games"
u,Watch Defiance - Exclusive Multiplayer Trailer http://t.co/2BnrtsqZ9D via @GameTrailers iOS App http://t.co/NZhf5G57nh
u,Check out this cool iOS app iTubeList (http://t.co/K31vXdkrPl) that plays safe YouTube playlists for kids.
u,Watch Real Racing 3 - Exclusive Launch Trailer http://t.co/y2MPnlekTk via @GameTrailers iOS App http://t.co/NZhf5G57nh
u,Sto guardando un video terrificante con ScaryVideo di #CrazyJokes! #iOS #iPhone #app http://t.co/3Yq8grcVGy http://t.co/TDHeopkh93
u,Now I'm just tweeting to annoy @CabSauvi with my twitter noise on iOS
p,Yay ! I was able to fix Siri theming problem on iOS 6.x !
u,Sanan Nasai?? Shared using Hadith iOS Application https://t.co/Hf6fnJyxuw http://t.co/cpN2Hj3z8p
u,Sto frustando @Bruny85  con iWhip di #CrazyJokes! #iOS #iPhone #app http://t.co/3Yq8grcVGy
u,"Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/yAdv1NTwh7 http://t.co/Y6z9nFZg1X"
u,My WALLABY-P flying from Toronto to Detroit in Pocket Planes for iOS! http://t.co/ayGzhKsiyX http://t.co/KshjT6b6Nq
p,the iOS 7 is HARD !! frfr
p,the iOS 7 is so hard  I will leave my phone unjailbroken forever !
u,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps http://t.co/2f9jXdOmOq
u,Drafter for iOS is now available!  http://t.co/bOM1dxiXVV
u,Any good book recommendations for getting head into Kiwi for iOS? I bought @dimsumthinking?€?s iBook and it?€?s great.
u,"Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/hkSl0RvdNX"
u,Try and beat my Texas 1 score of 12950 @BassProGames #KingofBucks #iOS Game  http://t.co/InHPsi3fTF Learn more at http://t.co/eQlmCiYIFq
n,iOS users download the new email mailbox app.. It's 10 times better than Mail
u,Hey! Check out this interesting video from Wimp iOS app: http://t.co/gQ9vkuqKHr
u,Created with You Doodle for iOS #YouDoodle JUSTIN 19 now I don't want to see 20  http://t.co/8Kvl1fpmjm http://t.co/RdSlbzTMd6
u,I'm using the IOS app 'Paranormal Detector'
u,Made with PokeStickers on iOS. http://t.co/EcMLjGXSVA http://t.co/sxG5l4lVnH
u,Creado con You Doodle para iOS #YouDoodle http://t.co/07B51jftsS http://t.co/MYGOs0kDRl
u,iOS messages improvement #1: have a number pad entry method.
u,iOS messages improvement #2: don't pull up people's home numbers when I'm searching for a contact to text.
u,My WALLABY-P flying from Munich to Berlin in Pocket Planes for iOS! http://t.co/yNkr3V5f3B
n,Getting impatient waiting for this iOS 6.1.2 update to download! ????????
u,My MOHAWK-M flying from San Diego to Nome in Pocket Planes for iOS! http://t.co/Wk0FjR6fqg http://t.co/GWj8FC3ybh
u,Dark sci-fi point-and-clicker Gemini Rue slinks onto iOS this spring http://t.co/PmoXRsZwzo
u,Wood Calculator #calculator #construction #wood #EMC #ios #iPhone #app http://t.co/UJuoFM46pc
u,Bugs on the Windshield #app #iPhone #iOS #games #arcade #fun http://t.co/Yv1MKwmTpn
u,Free call on iOS? cool! http://t.co/zYrPCBalVp
u,I completed this puzzle in 3:58! (iOS: http://t.co/cwkaDBcGT0 #jigsawpuzzles) http://t.co/yRlaFrI4M4
u,I completed this puzzle in 2:08! (iOS: http://t.co/CzTZqo0e1W #jigsawpuzzles) http://t.co/Vjs3bqSJTF
u,I completed this puzzle in 2:10! (iOS: http://t.co/CzTZqo0e1W #jigsawpuzzles) http://t.co/G5io53okjJ
u,I completed this puzzle in 2:18! (iOS: http://t.co/HTDRFIflvw #jigsawpuzzles) http://t.co/RMu0QkPoGA
u,Listening to Manian &amp; Dancetech - Ride On Time via @listen_app for iOS http://t.co/xW1KAdikaj
u,I just beat #stockholm with a time of 0:13.89 playing @madskillsbmx for iOS. Get this awesome game now! http://t.co/lHZ2D0t9BM
u,I just won Silver in this week's @madskillsmx #iOS Tourney round. I'm ranked 9518 in the world! http://t.co/FhyWrlxmuu
u,Check out my new makeover with the Makeup iOS app. http://t.co/2bnKQ1kUXW
